Intervention ID,Intervention URL,State Act ID,State Act URL,State Act Title,GTA Evaluation,Implementing Jurisdictions,Implementation Level,Eligible Firm,Intervention Type,Mast Chapter,Affected Sectors,Affected Products,Affected Jurisdictions,Is Horizontal,Date Announced,Date Implemented,Date Removed,Is In Force
57917,https://globaltradealert.org/intervention/57917,27906,https://www.globaltradealert.org/state-act/27906,United States of America: Retaliation against China for intellectual property practices,Red,United States of America,National,all,Import tariff,Tariff measures,"333, 337, 342, 347, 354, 361, 363, 369, 371, 393, 421, 423, 429, 431, 432, 433, 434, 435, 439, 441, 442, 443, 444, 445, 446, 448, 449, 451, 452, 461, 462, 463, 464, 465, 469, 471, 472, 473, 474, 481, 482, 483, 491, 492, 493, 495, 496, 499","271019, 284520, 284530, 284540, 284590, 340319, 340399, 381121, 381129, 390110, 390120, 390130, 390140, 390190, 390210, 390220, 390230, 390290, 390311, 390319, 390320, 390330, 390390, 390410, 390421, 390422, 390430, 390440, 390450, 390461, 390469, 390490, 390512, 390519, 390521, 390529, 390530, 390591, 390599, 390610, 390690, 390710, 390721, 390729, 390730, 390740, 390750, 390761, 390769, 390770, 390791, 390799, 390810, 390890, 390910, 390920, 390940, 390950, 391000, 391110, 391120, 391190, 391212, 391220, 391239, 391290, 391310, 391390, 391400, 391610, 391620, 391690, 391721, 391722, 391723, 391729, 391731, 391732, 391740, 391910, 391990, 392010, 392020, 392030, 392043, 392049, 392051, 392059, 392061, 392062, 392063, 392069, 392071, 392073, 392079, 392091, 392092, 392093, 392094, 392099, 392111, 392112, 392113, 392114, 392119, 392190, 401130, 401213, 700220, 730810, 730820, 730890, 761410, 761490, 840110, 840120, 840130, 840140, 840211, 840212, 840219, 840220, 840290, 840420, 840490, 840510, 840590, 840610, 840681, 840682, 840710, 840721, 840729, 840734, 840790, 840810, 840820, 840890, 840910, 841011, 841012, 841013, 841090, 841111, 841112, 841121, 841122, 841181, 841182, 841191, 841199, 841210, 841221, 841229, 841231, 841239, 841280, 841290, 841319, 841340, 841350, 841360, 841370, 841381, 841382, 841391, 841430, 841459, 841480, 841490, 841690, 841710, 841780, 841790, 841869, 841911, 841912, 841919, 841933, 841934, 841935, 841939, 841940, 841950, 841960, 841989, 841990, 842010, 842091, 842099, 842119, 842121, 842122, 842129, 842139, 842191, 842199, 842219, 842220, 842230, 842240, 842290, 842320, 842330, 842382, 842389, 842390, 842441, 842449, 842482, 842489, 842490, 842511, 842539, 842641, 842649, 842699, 842710, 842720, 842820, 842831, 842832, 842833, 842839, 842890, 842911, 842919, 842920, 842930, 842940, 842951, 842952, 842959, 843010, 843031, 843039, 843041, 843049, 843050, 843061, 843069, 843110, 843120, 843131, 843139, 843141, 843142, 843143, 843149, 843210, 843221, 843229, 843231, 843239, 843241, 843242, 843280, 843290, 843320, 843330, 843340, 843351, 843352, 843353, 843359, 843360, 843390, 843420, 843490, 843610, 843621, 843629, 843680, 843691, 843699, 843710, 843780, 843790, 843850, 843860, 843880, 843890, 843910, 843920, 843930, 843991, 843999, 844120, 844130, 844140, 844180, 844190, 844230, 844240, 844311, 844312, 844313, 844314, 844317, 844319, 844332, 844339, 844391, 844399, 844400, 845410, 845430, 845490, 845510, 845521, 845522, 845530, 845590, 845611, 845612, 845620, 845630, 845640, 845650, 845690, 845710, 845720, 845730, 845811, 845819, 845891, 845899, 845910, 845921, 845931, 845939, 845941, 845949, 845951, 845961, 845969, 845970, 846012, 846019, 846022, 846023, 846024, 846029, 846031, 846040, 846090, 846120, 846130, 846140, 846150, 846190, 846211, 846219, 846222, 846223, 846224, 846225, 846226, 846229, 846232, 846233, 846239, 846242, 846249, 846251, 846259, 846261, 846262, 846263, 846269, 846290, 846310, 846320, 846330, 846390, 846410, 846420, 846490, 846510, 846520, 846592, 846593, 846594, 846595, 846596, 846599, 846610, 846620, 846630, 846691, 846692, 846693, 846694, 846711, 846820, 846880, 847170, 847290, 847330, 847340, 847350, 847410, 847420, 847431, 847432, 847439, 847480, 847490, 847510, 847521, 847529, 847590, 847710, 847720, 847730, 847740, 847751, 847780, 847790, 847910, 847920, 847930, 847940, 847950, 847981, 847982, 847989, 847990, 848020, 848030, 848041, 848049, 848050, 848071, 848110, 848120, 848130, 848140, 848190, 848210, 848220, 848230, 848240, 848250, 848280, 848291, 848299, 848330, 848340, 848350, 848360, 848390, 848410, 848420, 848490, 848610, 848620, 848630, 848640, 848690, 848710, 848790, 850110, 850120, 850131, 850132, 850133, 850134, 850151, 850152, 850153, 850162, 850163, 850164, 850171, 850172, 850180, 850211, 850212, 850213, 850231, 850239, 850240, 850300, 850421, 850422, 850423, 850432, 850433, 850434, 850440, 850490, 850519, 850520, 850590, 850640, 850650, 850660, 850690, 850780, 850790, 851180, 851190, 851411, 851419, 851420, 851431, 851432, 851439, 851440, 851490, 851511, 851519, 851521, 851529, 851531, 851539, 851580, 851590, 852550, 852560, 852581, 852582, 852583, 852589, 852610, 852691, 852692, 852799, 852910, 852990, 853010, 853080, 853090, 853210, 853221, 853222, 853223, 853224, 853225, 853229, 853230, 853290, 853310, 853321, 853329, 853331, 853340, 853390, 853510, 853521, 853529, 853530, 853590, 853610, 853620, 853630, 853641, 853649, 853650, 853669, 853670, 853690, 853710, 853720, 853810, 853890, 853941, 853951, 853990, 854079, 854089, 854110, 854121, 854129, 854130, 854141, 854142, 854143, 854149, 854151, 854159, 854160, 854190, 854231, 854232, 854233, 854239, 854290, 854310, 854320, 854330, 854340, 854370, 854390, 854411, 854419, 854430, 854449, 854460, 854470, 860110, 860120, 860210, 860310, 860390, 860400, 860500, 860610, 860630, 860691, 860692, 860699, 860711, 860712, 860719, 860721, 860729, 860730, 860791, 860799, 860800, 860900, 870110, 870121, 870122, 870123, 870124, 870129, 870130, 870191, 870192, 870193, 870194, 870195, 870210, 870220, 870230, 870240, 870290, 870321, 870322, 870323, 870324, 870331, 870332, 870333, 870340, 870350, 870360, 870370, 870380, 870390, 870410, 870422, 870423, 870431, 870432, 870441, 870442, 870443, 870451, 870452, 870460, 870490, 870510, 870520, 870530, 870540, 870590, 870600, 870911, 870919, 870990, 871110, 871150, 871160, 871190, 880211, 880212, 880220, 880230, 880240, 880260, 880510, 880521, 880529, 880710, 880720, 880730, 880790, 890110, 890120, 890130, 890190, 890200, 890400, 890510, 890520, 890590, 890690, 890800, 900110, 900120, 900290, 901110, 901120, 901190, 901210, 901290, 901310, 901320, 901380, 901410, 901420, 901480, 901490, 901510, 901520, 901540, 901580, 901811, 901812, 901813, 901814, 901819, 901820, 901890, 902150, 902212, 902213, 902214, 902219, 902221, 902229, 902230, 902290, 902410, 902480, 902490, 902519, 902580, 902610, 902620, 902680, 902690, 902710, 902720, 902730, 902750, 902781, 902789, 902790, 902810, 902820, 902830, 902890, 902920, 902990, 903010, 903020, 903031, 903032, 903033, 903039, 903040, 903082, 903084, 903089, 903090, 903110, 903120, 903141, 903149, 903180, 903190, 903210, 903220, 903281, 903289, 903290, 903300",China,False,2017-08-14,2018-07-06,,1
58946,https://globaltradealert.org/intervention/58946,28574,https://www.globaltradealert.org/state-act/28574,United States of America: Reclassification of bicycle cogs and cassettes resulting in the elimination of tariff,Green,United States of America,National,all,Import tariff,Tariff measures,499,871493,"China, Japan",False,2017-11-01,2018-01-01,,1
58947,https://globaltradealert.org/intervention/58947,28575,https://www.globaltradealert.org/state-act/28575,United States of America: Reclassification of piston pin bushings resulting in a tariff increase,Red,United States of America,National,all,Import tariff,Tariff measures,431,840999,"Argentina, Australia, Austria, Belgium, Brazil, Canada, Chile, China, Colombia, Czechia, Republic of Korea, Denmark, Finland, France, Germany, Greece, Hungary, India, Indonesia, Italy, Japan, Mexico, Morocco, Netherlands, New Zealand, Norway, Panama, Peru, Poland, Portugal, Romania, Serbia, Singapore, Slovakia, South Africa, Spain, Sweden, Switzerland, Thailand, Tunisia, Turkiye, United Kingdom",False,2017-11-01,2018-01-01,,1
58976,https://globaltradealert.org/intervention/58976,28592,https://www.globaltradealert.org/state-act/28592,United States of America: Reclassification of fork lift load rollers resulting in the application of a 9% tariff,Red,United States of America,National,all,Import tariff,Tariff measures,433,848210,"Argentina, Austria, Brazil, Bulgaria, Canada, China, Republic of Korea, France, Germany, Hong Kong, India, Indonesia, Italy, Japan, Malaysia, Mexico, Netherlands, Philippines, Poland, Portugal, Romania, Singapore, Slovakia, Spain, Sweden, Switzerland, Thailand, Turkiye, United Kingdom, Vietnam",False,2017-11-01,2018-01-01,,1
58977,https://globaltradealert.org/intervention/58977,28593,https://www.globaltradealert.org/state-act/28593,United States of America: Reclassification of imitation wicker chairs resulting in the elimination of tariff,Green,United States of America,National,all,Import tariff,Tariff measures,381,940179,"Austria, Belgium, Brazil, Canada, China, Costa Rica, Czechia, Republic of Korea, Denmark, France, Germany, Hong Kong, India, Indonesia, Italy, Malaysia, Mexico, Netherlands, Philippines, Poland, Slovenia, Spain, Thailand, United Kingdom, Vietnam",False,2017-11-01,2018-01-01,,1
58984,https://globaltradealert.org/intervention/58984,28600,https://www.globaltradealert.org/state-act/28600,United States of America: Reclassification of multi-mode optical fiber ribbon cable resulting in a 6.7% tariff,Red,United States of America,National,all,Import tariff,Tariff measures,483,900110,"Canada, China, Denmark, Finland, France, Germany, Hong Kong, India, Israel, Japan, Latvia, Mexico, Netherlands, Poland, Switzerland, Thailand, United Kingdom",False,2017-11-01,2018-01-01,,1
58985,https://globaltradealert.org/intervention/58985,28601,https://www.globaltradealert.org/state-act/28601,United States of America: Reclassification of coconut water resulting in a higher tariff,Red,United States of America,National,all,Import tariff,Tariff measures,214,200989,"Argentina, Austria, Brazil, Canada, Chile, China, Ecuador, Egypt, France, Georgia, Germany, Guatemala, Hungary, Indonesia, Italy, Jamaica, Lebanon, Mexico, Netherlands, New Zealand, Peru, Philippines, Poland, Samoa, South Africa, Spain, Sri Lanka, Switzerland, Thailand, Turkiye, Vietnam",False,2017-11-01,2018-01-01,,1
59140,https://globaltradealert.org/intervention/59140,28716,https://www.globaltradealert.org/state-act/28716,United States of America: Reclassification of men’s fishing waders resulting in a higher tariff,Red,United States of America,National,all,Import tariff,Tariff measures,293,640420,"Brazil, Cambodia, China, Dominican Republic, France, Germany, Italy, Spain, Switzerland, Thailand, United Kingdom",False,2017-11-29,2018-01-26,,1
59141,https://globaltradealert.org/intervention/59141,28717,https://www.globaltradealert.org/state-act/28717,United States of America: Reclassification of parallel reaction stations for organic chemistry resulting in a higher tariff,Red,United States of America,National,all,Import tariff,Tariff measures,439,841989,"Australia, Austria, Belgium, Brazil, Canada, China, Czechia, Republic of Korea, Denmark, Finland, France, Germany, Hungary, India, Indonesia, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, Poland, Romania, Singapore, South Africa, Spain, Sweden, Switzerland, Thailand, Turkiye, United Kingdom",False,2017-11-29,2018-01-26,,1
59157,https://globaltradealert.org/intervention/59157,28729,https://www.globaltradealert.org/state-act/28729,United States of America: Reclassification of metal step stools resulting in a higher tariff,Red,United States of America,National,all,Import tariff,Tariff measures,429,"732690, 761699","Argentina, Australia, Austria, Belgium, Brazil, Cambodia, Canada, China, Colombia, Costa Rica, Czechia, Republic of Korea, Denmark, Estonia, Finland, France, Germany, Greece, Hong Kong, Hungary, India, Ireland, Israel, Italy, Japan, Latvia, Lithuania, Malaysia, Mexico, Myanmar, Netherlands, New Zealand, Norway, Pakistan, Peru, Philippines, Poland, Portugal, Romania, Singapore, Slovakia, Slovenia, South Africa, Spain, Sweden, Switzerland, Thailand, Turkiye, United Arab Emirates, United Kingdom, Vietnam",False,2017-11-29,2018-01-26,,1
