Intervention ID,Intervention URL,State Act ID,State Act URL,State Act Title,GTA Evaluation,Implementing Jurisdictions,Implementation Level,Eligible Firm,Intervention Type,Mast Chapter,Affected Sectors,Affected Products,Affected Jurisdictions,Is Horizontal,Date Announced,Date Implemented,Date Removed,Is In Force
12071,https://globaltradealert.org/intervention/12071,6846,https://www.globaltradealert.org/state-act/6846,United States of America: Restoration of Madagascar's AGOA benefits and removal of Eswatini's benefits,Green,United States of America,National,all,Import tariff,Tariff measures,,,,False,2014-07-01,2014-07-01,,1
12072,https://globaltradealert.org/intervention/12072,6846,https://www.globaltradealert.org/state-act/6846,United States of America: Restoration of Madagascar's AGOA benefits and removal of Eswatini's benefits,Red,United States of America,National,all,Import tariff,Tariff measures,,,,False,2014-07-01,2014-07-01,,1
17961,https://globaltradealert.org/intervention/17961,5851,https://www.globaltradealert.org/state-act/5851,United States of America: Imposition of fees on domestic and imported paper to promote exports and domestic sales,Red,United States of America,National,all,Import tariff,Tariff measures,"321, 327","480100, 480210, 480220, 480240, 480254, 480255, 480256, 480257, 480258, 480261, 480262, 480269, 480300, 480411, 480419, 480421, 480429, 480431, 480439, 480441, 480442, 480449, 480451, 480452, 480459, 480511, 480512, 480519, 480524, 480525, 480530, 480540, 480550, 480591, 480592, 480593, 480610, 480620, 480630, 480640, 480700, 480810, 480840, 480890, 480920, 480990, 481013, 481014, 481019, 481022, 481029, 481031, 481032, 481039, 481092, 481099, 481110, 481141, 481149, 481151, 481159, 481160, 481190, 481200, 481310, 481320, 481390, 481420, 481490, 481620, 481690, 481710, 481720, 481730, 481810, 481820, 481830, 481850, 481890, 481910, 481920, 481930, 481940, 481950, 481960, 482010, 482020, 482030, 482040, 482050, 482090, 482110, 482190, 482210, 482290, 482320, 482340, 482361, 482369, 482370, 482390","Argentina, Austria, Belgium, Brazil, Cambodia, China, Czechia, Denmark, Estonia, Finland, France, Germany, Hong Kong, Indonesia, Ireland, Italy, Japan, Malaysia, Netherlands, New Zealand, Norway, Philippines, Poland, Portugal, India, Slovakia, South Africa, Spain, Sweden, Switzerland, Thailand, Turkiye, Egypt, United Kingdom",False,2014-01-22,2014-01-23,,1
19044,https://globaltradealert.org/intervention/19044,7415,https://www.globaltradealert.org/state-act/7415,United States of America: Removal of Russia from the GSP,Red,United States of America,National,all,Import tariff,Tariff measures,"214, 232, 235, 236, 244, 268, 314, 341, 342, 347, 351, 352, 353, 361, 363, 371, 372, 382, 393, 411, 414, 415, 416, 429, 447, 469, 482, 483, 499","110900, 170310, 170390, 170410, 170490, 180610, 180620, 180631, 180632, 180690, 200811, 200819, 200820, 200830, 200840, 200850, 200860, 200870, 200880, 200891, 200893, 200897, 200899, 220210, 220291, 220299, 280410, 280421, 280429, 280430, 280440, 280450, 280461, 280469, 280470, 280480, 280490, 281211, 281212, 281213, 281214, 281215, 281216, 281217, 281219, 281290, 282510, 282520, 282530, 282540, 282550, 282560, 282570, 282580, 282590, 284910, 284920, 284990, 290311, 290312, 290313, 290314, 290315, 290319, 290321, 290322, 290323, 290329, 290341, 290342, 290343, 290344, 290345, 290346, 290347, 290348, 290349, 290351, 290359, 290361, 290362, 290369, 290371, 290372, 290373, 290374, 290375, 290376, 290377, 290378, 290379, 290381, 290382, 290383, 290389, 290391, 290392, 290393, 290394, 290399, 291611, 291612, 291613, 291614, 291615, 291616, 291619, 291620, 291631, 291632, 291634, 291639, 291711, 291712, 291713, 291714, 291719, 291720, 291732, 291733, 291734, 291735, 291736, 291737, 291739, 293110, 293120, 293141, 293142, 293143, 293144, 293145, 293146, 293147, 293148, 293149, 293151, 293152, 293153, 293154, 293159, 293190, 293311, 293319, 293321, 293329, 293331, 293332, 293333, 293334, 293335, 293336, 293337, 293339, 293341, 293349, 293352, 293353, 293354, 293355, 293359, 293361, 293369, 293371, 293372, 293379, 293391, 293392, 293399, 321210, 321290, 340231, 340239, 340241, 340242, 340249, 340250, 340290, 390410, 390421, 390422, 390430, 390440, 390450, 390461, 390469, 390490, 390710, 390721, 390729, 390730, 390740, 390750, 390761, 390769, 390770, 390791, 390799, 391710, 391721, 391722, 391723, 391729, 391731, 391732, 391733, 391739, 391740, 401110, 401120, 401130, 401140, 401150, 401170, 401180, 401190, 441210, 441231, 441233, 441234, 441239, 441241, 441242, 441249, 441251, 441252, 441259, 441291, 441292, 441299, 690911, 690912, 690919, 690990, 701911, 701912, 701913, 701914, 701915, 701919, 701961, 701962, 701963, 701964, 701965, 701966, 701969, 701971, 701972, 701973, 701980, 701990, 702000, 711311, 711319, 711320, 720211, 720219, 720221, 720229, 720230, 720241, 720249, 720250, 720260, 720270, 720280, 720291, 720292, 720293, 720299, 740311, 740312, 740313, 740319, 740321, 740322, 740329, 760410, 760421, 760429, 760511, 760519, 760521, 760529, 760810, 760820, 761610, 761691, 761699, 780110, 780191, 780199, 811212, 811213, 811219, 811221, 811222, 811229, 811251, 811252, 811259, 811292, 811299, 850511, 850519, 850520, 850590, 871110, 871120, 871130, 871140, 871150, 871160, 871190, 900110, 900120, 900130, 900140, 900150, 900190, 900211, 900219, 900220, 900290, 900510, 900580, 900590, 901210, 901290, 901310, 901320, 901380, 901390, 930310, 930320, 930330, 930390",Russia,False,2014-10-06,2014-10-03,,1
67460,https://globaltradealert.org/intervention/67460,34493,https://www.globaltradealert.org/state-act/34493,USA: Import tariff changes in 2014,Green,United States of America,National,all,Import tariff,Tariff measures,482,852692,"Austria, Canada, China, Costa Rica, Czechia, France, Germany, Hungary, Israel, Italy, Japan, Republic of Korea, Malaysia, Malta, Mexico, Poland, Romania, India, Vietnam, Spain, Sweden, Switzerland, Thailand, Tunisia, United Kingdom",False,2014-01-01,2014-01-01,,1
68586,https://globaltradealert.org/intervention/68586,34903,https://www.globaltradealert.org/state-act/34903,USA: GSP tariff changes in 2014,Red,United States of America,National,all,Import tariff,Tariff measures,244,"220291, 220299","Afghanistan, Albania, Algeria, Angola, Azerbaijan, Bangladesh, Armenia, Bhutan, Bolivia, Bosnia & Herzegovina, Botswana, Brazil, Belize, Solomon Islands, British Virgin Islands, Burundi, Cambodia, Cameroon, Cape Verde, Central African Republic, Sri Lanka, Chad, Comoros, Congo, DR Congo, Cook Islands, Benin, Dominica, Ecuador, Ethiopia, Eritrea, Fiji, Djibouti, Gabon, Georgia, Gambia, State of Palestine, Ghana, Kiribati, Grenada, Guinea, Guyana, Haiti, Indonesia, Iraq, Ivory Coast, Jamaica, Kazakhstan, Jordan, Kenya, Kyrgyzstan, Lebanon, Lesotho, Liberia, Madagascar, Malawi, Mali, Mauritania, Mauritius, Mongolia, Republic of Moldova, Montenegro, Montserrat, Mozambique, Namibia, Nepal, Vanuatu, Niger, Nigeria, Niue, Norfolk Island, Pakistan, Papua New Guinea, Paraguay, Philippines, Pitcairn, Guinea-Bissau, Timor-Leste, Russia, Rwanda, Saint Helena, Saint Kitts & Nevis, Anguilla, Saint Lucia, Saint Vincent & the Grenadines, Senegal, Serbia, Seychelles, Sierra Leone, India, Somalia, South Africa, Zimbabwe, Republic of the Sudan, Western Sahara, Suriname, Eswatini, Thailand, Togo, Tokelau, Tonga, Trinidad & Tobago, Tunisia, Turkiye, Turks & Caicos Islands, Tuvalu, Uganda, Ukraine, Macedonia, Egypt, Tanzania, Burkina Faso, Uruguay, Uzbekistan, Venezuela, Wallis & Futuna Islands, Samoa, Yemen, Zambia",False,2014-12-31,2014-01-01,2015-12-31,0
111163,https://globaltradealert.org/intervention/111163,46110,https://www.globaltradealert.org/state-act/46110,United States of America: GSP beneficiary changes in 2014,Red,United States of America,National,all,Import tariff,Tariff measures,"21, 211, 215","10229, 10239, 10290, 10420, 10511, 10512, 10513, 10514, 10515, 10594, 10599, 10631, 10632, 10633, 10639, 20110, 20120, 20130, 20210, 20220, 20230, 20312, 20319, 20322, 20329, 20410, 20421, 20422, 20423, 20430, 20441, 20442, 20443, 20711, 20712, 20713, 20714, 20724, 20725, 20726, 20727, 20741, 20742, 20743, 20744, 20745, 20751, 20752, 20753, 20754, 20755, 20760, 20890, 20910, 20990, 21011, 21012, 21019, 21091, 21092, 21093, 21099","Bangladesh, Russia",False,2014-01-01,2014-01-01,,1
111204,https://globaltradealert.org/intervention/111204,46110,https://www.globaltradealert.org/state-act/46110,United States of America: GSP beneficiary changes in 2014,Red,United States of America,National,all,Import tariff,Tariff measures,"21, 211, 215","10130, 10190, 10229, 10239, 10290, 10420, 10511, 10512, 10513, 10514, 10515, 10594, 10599, 10619, 10631, 10632, 10633, 10639, 20110, 20120, 20130, 20210, 20220, 20230, 20312, 20319, 20322, 20329, 20410, 20421, 20422, 20423, 20430, 20441, 20442, 20443, 20711, 20712, 20713, 20714, 20724, 20725, 20726, 20727, 20741, 20742, 20743, 20744, 20745, 20751, 20752, 20753, 20754, 20755, 20760, 20810, 20830, 20840, 20850, 20860, 20890, 20910, 20990, 21011, 21012, 21019, 21091, 21092, 21093, 21099",Bangladesh,False,2014-01-01,2014-01-01,,1
