Intervention ID,Intervention URL,State Act ID,State Act URL,State Act Title,GTA Evaluation,Implementing Jurisdictions,Implementation Level,Eligible Firm,Intervention Type,Mast Chapter,Affected Sectors,Affected Products,Affected Jurisdictions,Is Horizontal,Date Announced,Date Implemented,Date Removed,Is In Force
15189,https://globaltradealert.org/intervention/15189,13078,https://www.globaltradealert.org/state-act/13078,United States of America: Reclassification of renewable diesel and consequent decrease in the MFN duty,Green,United States of America,National,all,Import tariff,Tariff measures,"333, 399","271012, 271019, 271020, 271091, 271099","Algeria, Angola, Argentina, Azerbaijan, Bahamas, Belgium, Bolivia, Brazil, Cameroon, China, Congo, Ivory Coast, Croatia, Czechia, DR Congo, Denmark, Ecuador, Egypt, Estonia, Finland, France, Gabon, Germany, Ghana, Greece, Iceland, India, Indonesia, Iraq, Ireland, Italy, Jamaica, Japan, Kazakhstan, Kenya, Kuwait, Libya, Lithuania, Malaysia, Netherlands, Nigeria, Norway, Philippines, Poland, Portugal, Qatar, Russia, Saudi Arabia, Slovakia, South Africa, Spain, Suriname, Sweden, Switzerland, Trinidad & Tobago, Tunisia, Turkiye, Turkmenistan, United Arab Emirates, United Kingdom, Venezuela",False,2016-11-30,2017-01-30,,1
15190,https://globaltradealert.org/intervention/15190,13079,https://www.globaltradealert.org/state-act/13079,United States of America: Reclassification of a cam fastener and dowel and consequent increase in the MFN duty,Red,United States of America,National,all,Import tariff,Tariff measures,429,790700,"Bosnia & Herzegovina, China, France, Germany, Hong Kong, India, Italy, Malaysia, Thailand, United Kingdom",False,2016-11-30,2017-01-30,,1
15192,https://globaltradealert.org/intervention/15192,13080,https://www.globaltradealert.org/state-act/13080,United States of America: Reclassification of photomask pellicles and consequent increase in the MFN duty,Red,United States of America,National,all,Import tariff,Tariff measures,"282, 369","392610, 392620, 392630, 392640, 392690","Austria, Bangladesh, Belgium, Brazil, Cambodia, China, Czechia, Denmark, Egypt, Estonia, Finland, France, Germany, Greece, Hong Kong, Hungary, India, Indonesia, Ireland, Italy, Japan, Malaysia, Malta, Myanmar, Netherlands, New Zealand, Norway, Pakistan, Philippines, Poland, Portugal, Republic of Moldova, Romania, Russia, Saudi Arabia, Slovakia, Slovenia, South Africa, Spain, Sweden, Switzerland, Thailand, Tunisia, Turkiye, United Kingdom, Venezuela",False,2016-11-30,2017-01-30,,1
15193,https://globaltradealert.org/intervention/15193,13083,https://www.globaltradealert.org/state-act/13083,United States of America: Reclassification of certain plastic sheets and consequent decrease in the MFN duty,Green,United States of America,National,all,Import tariff,Tariff measures,363,"392112, 392190","Austria, Belgium, Brazil, China, Czechia, Denmark, Finland, France, Germany, Greece, Hong Kong, India, Indonesia, Ireland, Italy, Japan, Luxembourg, Netherlands, New Zealand, Portugal, Saudi Arabia, Slovakia, Spain, Sweden, Switzerland, Thailand, Turkiye, United Kingdom",False,2016-11-30,2017-01-30,,1
15194,https://globaltradealert.org/intervention/15194,13086,https://www.globaltradealert.org/state-act/13086,United States of America: Reclassification of kits used to cut holes in wood or metal doors and consequent decrease in the MFN duty,Green,United States of America,National,all,Import tariff,Tariff measures,429,"820210, 820220, 820231, 820239, 820240, 820291, 820299","Austria, Belarus, Brazil, China, France, Germany, India, Indonesia, Italy, Japan, Luxembourg, Netherlands, Portugal, Slovenia, Sweden, Switzerland, Thailand, Turkiye, United Kingdom",False,2016-11-30,2017-01-30,,1
20721,https://globaltradealert.org/intervention/20721,9982,https://www.globaltradealert.org/state-act/9982,United States of America: Numerous changes made to the Generalized System of Preferences,Red,United States of America,National,all,Import tariff,Tariff measures,"19, 214, 219, 261, 314, 342, 392, 415, 429, 463, 495","200811, 200819, 200820, 200830, 200840, 200850, 200860, 200870, 200880, 200891, 200893, 200897, 200899, 230610, 230620, 230630, 230641, 230649, 230650, 230660, 230690, 280410, 280421, 280429, 280430, 280440, 280450, 280461, 280469, 280470, 280480, 280490, 441210, 441231, 441233, 441239, 441241, 441242, 441249, 441251, 441252, 441259, 441291, 441292, 441299, 520100, 520210, 520291, 520299, 520300, 740811, 740819, 740821, 740822, 740829, 741300, 854411, 854419, 854420, 854430, 854442, 854449, 854460, 854470, 860711, 860712, 860719, 860721, 860729, 860730, 860791, 860799","Algeria, Argentina, Austria, Belgium, Bhutan, Bolivia, Brazil, Bulgaria, Cambodia, Cameroon, China, Ivory Coast, Czechia, Denmark, Ecuador, Egypt, Estonia, Finland, France, Gabon, Germany, Greece, Hong Kong, Hungary, India, Indonesia, Ireland, Italy, Jamaica, Japan, Kazakhstan, Kenya, Latvia, Lebanon, Lithuania, Malaysia, Malta, Mozambique, Netherlands, New Zealand, Norway, Pakistan, Paraguay, Philippines, Poland, Portugal, Qatar, Romania, Russia, Saudi Arabia, Slovakia, South Africa, Spain, Sri Lanka, Sweden, Switzerland, Thailand, Tunisia, Turkiye, Ukraine, United Arab Emirates, United Kingdom, Uruguay, Venezuela",False,2017-01-01,2017-01-01,,1
56492,https://globaltradealert.org/intervention/56492,26895,https://www.globaltradealert.org/state-act/26895,United States of America: Reclassification of non-motorized knee scooters and consequent elimination of the MFN duty,Green,United States of America,National,all,Import tariff,Tariff measures,499,871680,"Canada, China, Czechia, Republic of Korea, Mexico, Thailand, United Kingdom",False,2017-03-08,2017-03-08,,1
56578,https://globaltradealert.org/intervention/56578,26964,https://www.globaltradealert.org/state-act/26964,United States of America: Reclassification of frozen focaccia and consequent elimination of the MFN duty,Green,United States of America,National,all,Import tariff,Tariff measures,239,190590,"Canada, Republic of Korea, India, Mexico, Portugal",False,2017-03-08,2017-05-08,,1
56579,https://globaltradealert.org/intervention/56579,26965,https://www.globaltradealert.org/state-act/26965,United States of America: Reclassification of padded mats and consequent elimination of the MFN duty,Green,United States of America,National,all,Import tariff,Tariff measures,271,630790,"Australia, Canada, China, India, Mexico, Vietnam",False,2017-03-08,2017-05-09,,1
56675,https://globaltradealert.org/intervention/56675,27048,https://www.globaltradealert.org/state-act/27048,United States of America: Reclassification of blanket and reduction in duty,Green,United States of America,National,all,Import tariff,Tariff measures,271,630140,"China, Honduras, India, Indonesia, Mexico, Thailand, Vietnam",False,2017-02-10,2017-02-10,,1
56766,https://globaltradealert.org/intervention/56766,27114,https://www.globaltradealert.org/state-act/27114,United States of America: Reclassification of lanyards of glass beads and consequent increase in the MFN duty,Red,United States of America,National,all,Import tariff,Tariff measures,371,701810,"Austria, Canada, China, Czechia, Republic of Korea, Germany, India, Italy, Japan, Nepal",False,2017-04-12,2017-06-12,,1
56767,https://globaltradealert.org/intervention/56767,27115,https://www.globaltradealert.org/state-act/27115,United States of America: Reclassification of wafer catalysts and consequent increase in the MFN duty,Red,United States of America,National,all,Import tariff,Tariff measures,354,381512,"Australia, Bahrain, Belgium, Brazil, Canada, China, Republic of Korea, France, Germany, Italy, Japan, Macedonia, Mexico, Saudi Arabia, Sweden, Thailand, United Kingdom",False,2017-04-12,2017-06-12,,1
56768,https://globaltradealert.org/intervention/56768,27116,https://www.globaltradealert.org/state-act/27116,United States of America: Reclassification of football girdles and pants and consequent increase in the MFN duty,Red,United States of America,National,all,Import tariff,Tariff measures,384,950699,"Australia, Bangladesh, Belgium, Brazil, Canada, China, Czechia, Republic of Korea, Denmark, El Salvador, Finland, France, Germany, Hong Kong, Hungary, India, Indonesia, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, Pakistan, Philippines, Poland, South Africa, Spain, Sweden, Thailand, Ukraine, United Kingdom, Vietnam",False,2017-04-12,2017-06-12,,1
56769,https://globaltradealert.org/intervention/56769,27117,https://www.globaltradealert.org/state-act/27117,United States of America: Reclassification of cotton sleep sacks and consequent reduction in the MFN duty,Green,United States of America,National,all,Import tariff,Tariff measures,271,"630210, 630221, 630222, 630229, 630231, 630232, 630239","Bahrain, Bangladesh, Cambodia, Canada, China, Egypt, El Salvador, France, Germany, Guatemala, India, Israel, Italy, Mexico, Pakistan, Philippines, Portugal, Spain, Thailand, Turkiye, Turkmenistan",False,2017-04-12,2017-04-12,,1
56901,https://globaltradealert.org/intervention/56901,27224,https://www.globaltradealert.org/state-act/27224,United States of America: Reclassification of dried algae powder and consequent increase in the MFN duty,Red,United States of America,National,all,Import tariff,Tariff measures,239,210220,"Belgium, Brazil, Canada, China, Republic of Korea, Denmark, Estonia, France, Germany, Italy, Japan, Mexico, Poland, Russia, Thailand, Turkiye, United Kingdom",False,2017-05-03,2017-07-03,,1
56902,https://globaltradealert.org/intervention/56902,27225,https://www.globaltradealert.org/state-act/27225,United States of America: Reclassification of flip caps and consequent reduction in the MFN duty,Green,United States of America,National,all,Import tariff,Tariff measures,429,830990,"Australia, Austria, Brazil, Canada, China, Denmark, France, Germany, Hong Kong, India, Italy, Japan, Malaysia, Mexico, Netherlands, Poland, Spain, United Kingdom",False,2017-05-03,2017-07-03,,1
56903,https://globaltradealert.org/intervention/56903,27226,https://www.globaltradealert.org/state-act/27226,United States of America: Reclassification of yard waste/recycling bags and consequent increase in the MFN duty,Red,United States of America,National,all,Import tariff,Tariff measures,271,630532,"China, Finland, France, India, Indonesia, Mexico, Thailand, Turkiye, Vietnam",False,2017-05-03,2017-07-03,,1
56904,https://globaltradealert.org/intervention/56904,27227,https://www.globaltradealert.org/state-act/27227,United States of America: Reclassification of reusable diaper covers and consequent increase in the MFN duty,Red,United States of America,National,all,Import tariff,Tariff measures,282,"611120, 611130","Bangladesh, Cambodia, Canada, China, Republic of Korea, Egypt, El Salvador, Ethiopia, Guatemala, Haiti, Honduras, Hong Kong, India, Indonesia, Italy, Malaysia, Mexico, Nicaragua, Pakistan, Peru, Philippines, Portugal, Spain, Sri Lanka, Thailand, Turkiye, Vietnam",False,2017-05-03,2017-07-03,,1
