Intervention ID,Intervention URL,State Act ID,State Act URL,State Act Title,GTA Evaluation,Implementing Jurisdictions,Implementation Level,Eligible Firm,Intervention Type,Mast Chapter,Affected Sectors,Affected Products,Affected Jurisdictions,Is Horizontal,Date Announced,Date Implemented,Date Removed,Is In Force
130037,https://globaltradealert.org/intervention/130037,81756,https://www.globaltradealert.org/state-act/81756,United States of America: Reclassification of a 3-in-1 car cleaner and consequent reduction in the MFN duty,Green,United States of America,National,all,Import tariff,Tariff measures,491,870899,"Argentina, Australia, Austria, Belgium, Brazil, Bulgaria, Canada, Chile, China, Colombia, Costa Rica, Czechia, Republic of Korea, Denmark, Dominican Republic, El Salvador, Finland, France, Germany, Honduras, Hungary, India, Indonesia, Ireland, Israel, Italy, Japan, Lithuania, Malaysia, Mexico, Netherlands, New Zealand, Norway, Oman, Pakistan, Peru, Philippines, Poland, Portugal, Romania, Singapore, Slovakia, Slovenia, South Africa, Spain, Sweden, Switzerland, Thailand, Tunisia, Turkiye, United Arab Emirates, United Kingdom, Vietnam",False,2023-11-08,2024-01-07,,1
130038,https://globaltradealert.org/intervention/130038,81757,https://www.globaltradealert.org/state-act/81757,United States of America: Reclassification of a strap rail tensioning system and consequent increase in the MFN duty,Red,United States of America,National,all,Import tariff,Tariff measures,449,847989,"Argentina, Australia, Austria, Belgium, Brazil, Cambodia, Canada, Chile, China, Colombia, Croatia, Czechia, Republic of Korea, Denmark, Estonia, Finland, France, Germany, Honduras, Hungary, India, Ireland, Israel, Italy, Japan, Lithuania, Macedonia, Malaysia, Malta, Mexico, Netherlands, New Zealand, Norway, Poland, Portugal, Romania, Singapore, Slovakia, Slovenia, South Africa, Spain, Sweden, Switzerland, Thailand, Turkiye, United Arab Emirates, United Kingdom, Vietnam",False,2023-11-08,2024-01-07,,1
130039,https://globaltradealert.org/intervention/130039,81758,https://www.globaltradealert.org/state-act/81758,United States of America: Reclassification of a plastic playmat and a printed playmat from South Korea and consequent revision in the MFN duty,Green,United States of America,National,firm-specific,Import tariff,Tariff measures,326,491199,Republic of Korea,False,2023-11-08,2024-01-07,,1
130041,https://globaltradealert.org/intervention/130041,81758,https://www.globaltradealert.org/state-act/81758,United States of America: Reclassification of a plastic playmat and a printed playmat from South Korea and consequent revision in the MFN duty,Red,United States of America,National,firm-specific,Import tariff,Tariff measures,369,391890,Republic of Korea,False,2023-11-08,2024-01-07,,1
130473,https://globaltradealert.org/intervention/130473,82087,https://www.globaltradealert.org/state-act/82087,United States of America: Reclassification of a decorative wood box and consequent reduction in the MFN duty,Green,United States of America,National,all,Import tariff,Tariff measures,319,442090,"Cambodia, Canada, China, France, Germany, India, Indonesia, Italy, Mexico, Philippines, Poland, Switzerland, Thailand, Turkiye, United Kingdom, Vietnam",False,2023-11-29,2024-01-28,,1
131088,https://globaltradealert.org/intervention/131088,82418,https://www.globaltradealert.org/state-act/82418,United States of America: Reclassification of processed brewer’s saved grains and consequent reduction in the MFN duty,Green,United States of America,National,all,Import tariff,Tariff measures,239,210690,"Argentina, Australia, Austria, Belgium, Brazil, Bulgaria, Canada, Chile, China, Colombia, Costa Rica, Czechia, Republic of Korea, Denmark, Dominican Republic, Ecuador, Egypt, El Salvador, France, Germany, Greece, Guatemala, Hong Kong, Hungary, Iceland, India, Indonesia, Ireland, Israel, Italy, Jamaica, Japan, Jordan, Macedonia, Malaysia, Mauritius, Mexico, Morocco, Netherlands, New Zealand, Nigeria, Norway, Pakistan, Peru, Philippines, Poland, Portugal, Romania, Serbia, Singapore, Slovenia, Spain, Sri Lanka, Sweden, Switzerland, Thailand, Trinidad & Tobago, Tunisia, Turkiye, United Kingdom, Vietnam",False,2023-12-06,2024-02-04,,1
131634,https://globaltradealert.org/intervention/131634,82776,https://www.globaltradealert.org/state-act/82776,United States of America: Reclassification of certain reaching aids and consequent increase in the MFN duty,Red,United States of America,National,all,Import tariff,Tariff measures,429,761699,"Argentina, Australia, Austria, Belgium, Brazil, Cambodia, Canada, China, Colombia, Czechia, Republic of Korea, Denmark, Ecuador, France, Germany, Greece, Hungary, India, Indonesia, Ireland, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, Norway, Philippines, Poland, Singapore, Slovenia, Spain, Sweden, Switzerland, Thailand, Turkiye, United Arab Emirates, United Kingdom, Vietnam",False,2023-12-27,2024-02-25,,1
132212,https://globaltradealert.org/intervention/132212,83218,https://www.globaltradealert.org/state-act/83218,United States of America: Reclassification of certain camera housings and consequent reduction in the MFN duty,Green,United States of America,National,all,Import tariff,Tariff measures,474,852990,"Australia, Austria, Belgium, Brazil, Bulgaria, Canada, China, Colombia, Croatia, Czechia, Republic of Korea, Denmark, Dominican Republic, Finland, France, Germany, Greece, Hungary, India, Ireland, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, New Zealand, Norway, Philippines, Poland, Portugal, Romania, Saudi Arabia, Singapore, Slovakia, Spain, Sweden, Switzerland, Thailand, Turkiye, United Arab Emirates, United Kingdom, Vietnam",False,2024-01-10,2024-01-10,,1
133314,https://globaltradealert.org/intervention/133314,84152,https://www.globaltradealert.org/state-act/84152,United States of America: Reclassification of human biological specimens and consequent increase in the MFN duty,Red,United States of America,National,all,Import tariff,Tariff measures,49,51199,"Argentina, Australia, Azerbaijan, Bangladesh, Belgium, Bolivia, Brazil, Cambodia, Canada, China, Colombia, Costa Rica, Denmark, Ecuador, France, Germany, India, Ireland, Italy, Mexico, Nepal, Netherlands, New Zealand, Peru, Poland, Romania, Spain, Thailand, Turkiye, United Kingdom, Venezuela, Vietnam",False,2024-02-14,2024-04-15,,1
133707,https://globaltradealert.org/intervention/133707,84365,https://www.globaltradealert.org/state-act/84365,United States of America: Reclassification of a pet bowl mat and consequent increase in the import duty,Red,United States of America,National,all,Import tariff,Tariff measures,271,630790,"Australia, Bahrain, Bangladesh, Belgium, Brazil, Cambodia, Canada, Chinese Taipei, Colombia, Czechia, Republic of Korea, Dominican Republic, El Salvador, Estonia, France, Germany, Guatemala, Haiti, Honduras, Hong Kong, India, Indonesia, Ireland, Israel, Italy, Japan, Jordan, Malaysia, Mexico, Morocco, Myanmar, Nepal, Netherlands, Nicaragua, Pakistan, Peru, Philippines, Poland, Portugal, Romania, Saudi Arabia, Singapore, Slovakia, South Africa, Spain, Sri Lanka, Sweden, Thailand, Tunisia, Turkiye, Ukraine, United Kingdom, Vietnam",False,2024-02-21,2024-04-22,,1
