Intervention ID,Intervention URL,State Act ID,State Act URL,State Act Title,GTA Evaluation,Implementing Jurisdictions,Implementation Level,Eligible Firm,Intervention Type,Mast Chapter,Affected Sectors,Affected Products,Affected Jurisdictions,Is Horizontal,Date Announced,Date Implemented,Date Removed,Is In Force
72724,https://globaltradealert.org/intervention/72724,37893,https://www.globaltradealert.org/state-act/37893,"United States of America: Imposition of penalty tariffs on French wine, cosmetics, and handbags in response to that country’s tax on technology companies",Red,United States of America,National,all,Import tariff,Tariff measures,"242, 292, 353","220410, 220421, 220422, 220429, 220430, 330410, 330420, 330430, 330491, 330499, 340111, 340119, 340120, 340130, 420221, 420222",France,False,2020-07-10,2021-01-06,,1
83924,https://globaltradealert.org/intervention/83924,47105,https://www.globaltradealert.org/state-act/47105,United States of America: Reclassification of a plant distillation refining module and consequent removal of MFN duty,Green,United States of America,National,all,Import tariff,Tariff measures,439,841960,"Canada, China, Republic of Korea, Finland, France, Germany, India, Italy, Japan, Netherlands, Switzerland, United Arab Emirates",False,2021-01-27,2021-03-28,,1
83955,https://globaltradealert.org/intervention/83955,47148,https://www.globaltradealert.org/state-act/47148,United States of America: Reclassification of woman’s footwear and consequent reduction in the MFN duty,Green,United States of America,National,all,Import tariff,Tariff measures,293,640419,"Bangladesh, Brazil, Cambodia, Canada, China, Colombia, Republic of Korea, Dominican Republic, El Salvador, France, Germany, Hong Kong, India, Indonesia, Israel, Italy, Japan, Mexico, Myanmar, Nicaragua, Philippines, Portugal, Slovakia, Spain, Switzerland, Thailand, Tunisia, United Kingdom, Vietnam",False,2020-12-09,2021-02-07,,1
83992,https://globaltradealert.org/intervention/83992,47166,https://www.globaltradealert.org/state-act/47166,United States of America: Reclassification of mandrels and consequent reduction in the MFN duty,Green,United States of America,National,all,Import tariff,Tariff measures,442,846610,"Austria, Brazil, Canada, China, Republic of Korea, France, Germany, India, Israel, Italy, Japan, Mexico, Netherlands, Norway, Singapore, Slovenia, Spain, Sweden, Switzerland, United Kingdom, Vietnam",False,2021-02-10,2021-04-11,,1
83993,https://globaltradealert.org/intervention/83993,47167,https://www.globaltradealert.org/state-act/47167,United States of America: Reclassification of backseat automobile organizers and consequent increase in the MFN duty,Red,United States of America,National,all,Import tariff,Tariff measures,271,630790,"Australia, Austria, Bahrain, Bangladesh, Belgium, Brazil, Bulgaria, Cambodia, Canada, China, Colombia, Czechia, Republic of Korea, Denmark, Dominican Republic, Egypt, El Salvador, France, Germany, Guatemala, Haiti, Honduras, Hong Kong, India, Indonesia, Ireland, Israel, Italy, Japan, Latvia, Malaysia, Mexico, Morocco, Myanmar, Nepal, Netherlands, New Zealand, Nicaragua, Pakistan, Peru, Philippines, Poland, Portugal, Romania, Saudi Arabia, Singapore, South Africa, Spain, Sri Lanka, Sweden, Switzerland, Thailand, Tunisia, Turkiye, United Kingdom, Vietnam",False,2021-02-10,2021-04-11,,1
83994,https://globaltradealert.org/intervention/83994,47168,https://www.globaltradealert.org/state-act/47168,United States of America: Reclassification of automobile organizers and consequent increase in the MFN duty,Red,United States of America,National,all,Import tariff,Tariff measures,292,420292,"Bangladesh, Cambodia, Canada, China, Costa Rica, Republic of Korea, Dominican Republic, Ethiopia, France, Germany, Hong Kong, India, Indonesia, Israel, Italy, Japan, Malaysia, Mexico, Myanmar, Pakistan, Philippines, Spain, Thailand, Turkiye, United Kingdom, Vietnam",False,2021-02-10,2021-04-11,,1
83995,https://globaltradealert.org/intervention/83995,47169,https://www.globaltradealert.org/state-act/47169,United States of America: Reclassification of ‘piggy’ banks and consequent increase in the MFN duty,Red,United States of America,National,all,Import tariff,Tariff measures,369,392490,"Bangladesh, Brazil, Cambodia, Canada, China, Colombia, Republic of Korea, Dominican Republic, El Salvador, France, Germany, Hong Kong, Hungary, India, Indonesia, Israel, Italy, Japan, Luxembourg, Malaysia, Mexico, Netherlands, Philippines, Poland, Spain, Sweden, Switzerland, Thailand, Turkiye, United Kingdom, Vietnam",False,2021-02-10,2021-04-11,,1
84302,https://globaltradealert.org/intervention/84302,47387,https://www.globaltradealert.org/state-act/47387,United States of America: Reclassification of hanging shelves and consequent increase in the MFN duty,Red,United States of America,National,all,Import tariff,Tariff measures,271,630790,"Australia, Austria, Bahrain, Bangladesh, Belgium, Brazil, Bulgaria, Cambodia, Canada, China, Colombia, Czechia, Republic of Korea, Denmark, Dominican Republic, Egypt, El Salvador, France, Germany, Guatemala, Haiti, Honduras, Hong Kong, India, Indonesia, Ireland, Israel, Italy, Japan, Latvia, Malaysia, Mexico, Morocco, Myanmar, Nepal, Netherlands, New Zealand, Nicaragua, Pakistan, Peru, Philippines, Poland, Portugal, Romania, Saudi Arabia, Singapore, South Africa, Spain, Sri Lanka, Sweden, Switzerland, Thailand, Tunisia, Turkiye, United Kingdom, Vietnam",False,2020-11-11,2021-01-10,,1
84304,https://globaltradealert.org/intervention/84304,47389,https://www.globaltradealert.org/state-act/47389,United States of America: Reclassification of plastic coolers and consequent increase in the MFN duty,Red,United States of America,National,all,Import tariff,Tariff measures,292,420212,"Cambodia, Canada, China, France, Germany, Hungary, India, Indonesia, Israel, Italy, Mexico, Myanmar, Philippines, Poland, Spain, Switzerland, Thailand, United Kingdom, Vietnam",False,2020-11-11,2021-01-10,,1
84306,https://globaltradealert.org/intervention/84306,47390,https://www.globaltradealert.org/state-act/47390,United States of America: Reclassification of machine covers and consequent increase in the MFN duty,Red,United States of America,National,all,Import tariff,Tariff measures,271,630790,"Australia, Austria, Bahrain, Bangladesh, Belgium, Brazil, Bulgaria, Cambodia, Canada, China, Colombia, Czechia, Republic of Korea, Denmark, Dominican Republic, Egypt, El Salvador, France, Germany, Guatemala, Haiti, Honduras, Hong Kong, India, Indonesia, Ireland, Israel, Italy, Japan, Latvia, Malaysia, Mexico, Morocco, Myanmar, Nepal, Netherlands, New Zealand, Nicaragua, Pakistan, Peru, Philippines, Poland, Portugal, Romania, Saudi Arabia, Singapore, South Africa, Spain, Sri Lanka, Sweden, Switzerland, Thailand, Tunisia, Turkiye, United Kingdom, Vietnam",False,2020-11-11,2021-01-10,,1
