Intervention ID,Intervention URL,State Act ID,State Act URL,State Act Title,GTA Evaluation,Implementing Jurisdictions,Implementation Level,Eligible Firm,Intervention Type,Mast Chapter,Affected Sectors,Affected Products,Affected Jurisdictions,Is Horizontal,Date Announced,Date Implemented,Date Removed,Is In Force
9631,https://globaltradealert.org/intervention/9631,13024,https://www.globaltradealert.org/state-act/13024,United States of America: Restoration of GSP status for Myanmar,Green,United States of America,National,all,Import tariff,Tariff measures,,,Myanmar,False,2016-09-16,2016-11-13,,1
13420,https://globaltradealert.org/intervention/13420,10842,https://www.globaltradealert.org/state-act/10842,United States of America: Reduced MFN tariffs on certain environmental goods,Green,United States of America,National,all,Import tariff,Tariff measures,"316, 423, 431","441811, 441819, 441821, 441829, 441830, 441840, 441850, 441873, 441874, 441875, 441879, 441881, 441882, 441883, 441889, 441891, 441892, 441899, 840410, 840420, 840490, 840610, 840681, 840682, 840690","Argentina, Austria, Belgium, Bolivia, Brazil, Cambodia, China, Croatia, Czechia, Denmark, Estonia, France, Germany, Hungary, India, Indonesia, Italy, Japan, Lithuania, Malaysia, Netherlands, Philippines, Poland, Portugal, Romania, South Africa, Spain, Sweden, Switzerland, Thailand, Turkiye, Ukraine, United Kingdom",False,2015-12-29,2016-01-01,,1
13919,https://globaltradealert.org/intervention/13919,11577,https://www.globaltradealert.org/state-act/11577,United States of America: Reclassification of shoe covers and consequent reduction of MFN tariff from 37.5% to 6%,Green,United States of America,National,all,Import tariff,Tariff measures,293,640299,"Bangladesh, Bosnia & Herzegovina, Brazil, Cambodia, China, Ethiopia, Germany, Hong Kong, India, Indonesia, Italy, Japan, Macao, Spain, Thailand, United Kingdom",False,2016-05-04,2016-07-05,,1
13920,https://globaltradealert.org/intervention/13920,11578,https://www.globaltradealert.org/state-act/11578,United States of America: Reclassification of hosiery and consequent elimination of 14.6% MFN tariff,Green,United States of America,National,all,Import tariff,Tariff measures,282,"611510, 611530","Brazil, China, Germany, Italy, Pakistan",False,2016-05-04,2016-07-05,,1
13921,https://globaltradealert.org/intervention/13921,11579,https://www.globaltradealert.org/state-act/11579,United States of America: Reclassification of cast socks and consequent elimination of 14.6% MFN tariff,Green,United States of America,National,all,Import tariff,Tariff measures,481,"902110, 902121, 902129, 902131, 902139, 902140, 902150, 902190","Austria, Bangladesh, Barbados, Belgium, Brazil, China, Denmark, France, Germany, Hong Kong, Iceland, India, Ireland, Italy, Japan, Malaysia, Netherlands, New Zealand, Pakistan, Philippines, Poland, Romania, South Africa, Spain, Sri Lanka, Sweden, Switzerland, Thailand, Trinidad & Tobago, Turkiye, United Kingdom, Uruguay",False,2016-05-04,2016-07-06,,1
13926,https://globaltradealert.org/intervention/13926,11585,https://www.globaltradealert.org/state-act/11585,United States of America: Reclassification of double-walled beverage bottles and consequent increase of MFN tariff from 2% to 7.2%,Red,United States of America,National,all,Import tariff,Tariff measures,429,"732310, 732391, 732392, 732393, 732394, 732399","Austria, Belgium, Brazil, Cambodia, China, Czechia, Denmark, France, Germany, Hong Kong, India, Indonesia, Italy, Japan, Portugal, Slovakia, Spain, Thailand, Turkiye, United Kingdom",False,2015-12-23,2016-02-22,,1
13927,https://globaltradealert.org/intervention/13927,11586,https://www.globaltradealert.org/state-act/11586,United States of America: Reclassification of pillowcases and consequent reduction of MFN tariff from 6.7% to 3.8%,Green,United States of America,National,all,Import tariff,Tariff measures,271,630231,"Bangladesh, Cambodia, China, Egypt, France, Germany, India, Indonesia, Italy, Pakistan, Philippines, Portugal, Turkiye, Turkmenistan, United Arab Emirates",False,2015-12-23,2016-02-22,,1
13928,https://globaltradealert.org/intervention/13928,11587,https://www.globaltradealert.org/state-act/11587,United States of America: Reclassification of flocked heat transfers and consequent elimination of the 0.5-8% MFN tariff,Green,United States of America,National,all,Import tariff,Tariff measures,326,"490810, 490890","Austria, China, Germany, Italy, Japan, Switzerland, United Kingdom",False,2015-12-23,2016-02-22,,1
13929,https://globaltradealert.org/intervention/13929,11588,https://www.globaltradealert.org/state-act/11588,United States of America: Reclassification of bilberry and blueberry extract powders and consequent increase in the MFN tariff,Red,United States of America,National,all,Import tariff,Tariff measures,"354, 375","382410, 382430, 382440, 382450, 382460, 382481, 382482, 382483, 382491, 382492, 382499, 382711, 382712, 382713, 382714, 382720, 382731, 382732, 382739, 382740, 382751, 382759, 382761, 382762, 382763, 382764, 382765, 382768, 382769, 382790","Austria, Belgium, Bosnia & Herzegovina, Brazil, China, Czechia, Denmark, Estonia, Finland, France, Germany, Hungary, India, Indonesia, Ireland, Italy, Japan, Lithuania, Malaysia, Netherlands, Norway, Philippines, Poland, Saudi Arabia, South Africa, Spain, Sweden, Switzerland, Thailand, Turkiye, United Arab Emirates, United Kingdom",False,2015-12-23,2016-02-22,,1
13930,https://globaltradealert.org/intervention/13930,11589,https://www.globaltradealert.org/state-act/11589,United States of America: Reclassification of certain necklaces and consequent elimination of the MFN tariff,Green,United States of America,National,all,Import tariff,Tariff measures,389,"711711, 711719, 711790","Austria, Brazil, China, France, Germany, Hong Kong, India, Indonesia, Italy, Philippines, Saint Lucia, Serbia, Spain, Switzerland, Thailand, United Kingdom",False,2015-12-23,2016-02-22,,1
