1B6141 N ZEAL     New Zealand                                       
1B6142 COOK IS    Cook Islands                                      
1B6143 TOKELAU    Tokelau                                           
1B6144 NIUE       Niue                                              
1B6150 SAMOA      Samoa                                             
1B6223 SOLMN I    Solomon Islands                                   
1B6224 VANUATU    Vanuatu                                           
1B6225 PITCARN    Pitcairn Islands                                  
1B6226 KIRIBAT    Kiribati                                          
1B6227 TUVALU     Tuvalu                                            
1B6412 N CALDN    New Caledonia                                     
1B6413 WALLIS     Wallis and Futuna                                 
1B6414 FR POLY    French Polynesia                                  
1B6810 MARSHAL    Marshall Islands                                  
1B6820 MICRONS    Micronesia                                        
1B6830 PALAU      Palau                                             
1B6862 NAURU      Nauru                                             
1B6863 FIJI       Fiji                                              
1B6864 TONGA      Tonga                                             
1B7140 MOROC      Morocco                                           
1B7210 ALGERIA    Algeria                                           
1B7230 TUNISIA    Tunisia                                           
1B7250 LIBYA      Libya                                             
1B7290 EGYPT      Egypt                                             
1B7321 SUDAN      Sudan                                             
1B7323 S SUDAN    South Sudan                                       
1B7380 EQ GUIN    Equatorial Guinea                                 
1B7410 MAURITN    Mauritania                                        
1B7420 CAMROON    Cameroon                                          
1B7440 SENEGAL    Senegal                                           
1B7450 MALI       Mali                                              
1B7460 GUINEA     Guinea                                            
1B7470 SIER LN    Sierra Leone                                      
1B7480 IVY CST    Cote d'Ivoire                                     
1B7490 GHANA      Ghana                                             
1B7500 GAMBIA     Gambia                                            
1B7510 NIGER      Niger                                             
1B7520 TOGO       Togo                                              
1B7530 NIGERIA    Nigeria                                           
1B7540 C AF RP    Central African Republic                          
1B7550 GABON      Gabon                                             
1B7560 CHAD       Chad                                              
1B7580 S HELN     St Helena                                         
1B7600 BURKINA    Burkina Faso                                      
1B7610 BENIN      Benin                                             
1B7620 ANGOLA     Angola                                            
1B7630 CONGO B    Congo (Brazzaville)                               
1B7642 G BISAU    Guinea-Bissau                                     
1B7643 C VERDE    Cabo Verde                                        
1B7644 SAO T P    Sao Tome and Principe                             
1B7650 LIBERIA    Liberia                                           
1B7660 CONGO C    Congo (Kinshasa)                                  
1B7670 BURUNDI    Burundi                                           
1B7690 RWANDA     Rwanda                                            
1B7700 SOMALIA    Somalia                                           
1B7741 ERITREA    Eritrea                                           
1B7749 ETHIOP     Ethiopia                                          
1B7770 DJIBUTI    Djibouti                                          
1B7780 UGANDA     Uganda                                            
1B7790 KENYA      Kenya                                             
1B7800 SEYCHEL    Seychelles                                        
1B7810 B IND O    British Indian Ocean Territories                  
1B7830 TNZANIA    Tanzania                                          
1B7850 MAURIT     Mauritius                                         
1B7870 MOZAMBQ    Mozambique                                        
1B7880 MADAGAS    Madagascar                                        
1B7881 MAYOTTE    Mayotte                                           
1B7890 COMOROS    Comoros                                           
1B7904 REUNION    Reunion                                           
1B7905 F SO ANT   French Southern and Antarctic Lands               
1B7910 REP SAF    South Africa                                      
1B7920 NAMIBIA    Namibia                                           
1B7930 BOTSWAN    Botswana                                          
1B7940 ZAMBIA     Zambia                                            
1B7950 ESWATINI   Eswatini                                          
1B7960 ZMBABWE    Zimbabwe                                          
1B7970 MALAWI     Malawi                                            
1B7990 LESOTHO    Lesotho                                           
1E8220 UNIDENT    Unidentified Countries                            
1E8500 INT ORG    International Organizations                       
1E9000 PR T US    Puerto to US                                      
1E9030 P RICO     Puerto Rico                                       
1B9110 VIRG IS    Virgin Islands of the United States               
1I9350 GUAM       Guam                                              
1I9510 AM SAM     American Samoa                                    
1I9610 N MAR IS   Northern Mariana Islands                          
1I9800 US O IS    US minor outlying Islands                                                         
