hts8,quantity_code,unit_value
01013000,NO,6931
01022940,NO,1363.6190476190477
01023900,NO,1881.4468154764813
01029000,NO,2009.1724137931035
01042000,NO,700
01051100,NO,94.88492063492063
01051200,NO,8.720833333333333
01051300,NO,1.5050191570881226
01051400,NO,3.3181963470319635
01059900,NO,24.497710622710624
01061930,NO,1100
01063100,NO,3105
01063200,NO,2.2015584415584417
01063901,NO,19.192646560487972
02012010,KG,2.5364071335363203
02012050,KG,10.721302113078242
02012080,KG,17.612903225806452
02013002,KG,4.758967887325872
02013006,KG,2.513671130251441
02013010,KG,5.791221628838452
02013030,KG,17.198547385293526
02013050,KG,10.86328200502545
02013080,KG,8.6038639715571
02022030,KG,0.6378471005179733
02022050,KG,3.3147497440767593
02022080,KG,19.696969696969695
02023006,KG,20.873563218390803
02023030,KG,5.705481439141122
02023050,KG,4.829742352032533
02023080,KG,5.265792705719015
02031210,KG,3.751084812623274
02031920,KG,3.1759708737864076
02032210,KG,14.939024390243903
02032920,KG,4.292335396736072
02041000,KG,7.213523131672598
02042220,KG,9.822984651356228
02042320,KG,9.705614412923229
02043000,KG,5.599555928948631
02044100,KG,3.9849213807446535
02044220,KG,6.518123667377399
02044240,KG,4.263968351541924
02044320,KG,7.8917981910733035
02044340,KG,4.983563672037167
02071200,KG,5.484553533643673
02071300,KG,3.7178860931180386
02071400,KG,3.5299443141121767
02072700,KG,3.1740386420431994
02074200,KG,19.432659932659934
02074400,KG,13.392857142857142
02074500,KG,0.7322173435784852
02076040,KG,14.568181818181818
02081000,KG,3.330159420289855
02085000,KG,30.868333333333332
02089030,KG,9.151324609000957
02089091,KG,12.083333333333334
02091000,KG,0.72034646643509
02101100,KG,16.247156161176957
02101200,KG,5.582766264977828
02101900,KG,13.567304126506446
02109300,KG,53.171985963242726
02109920,KG,15.657531589448016
02109991,KG,42.42590725806451
03022300,KG,25.96944303980351
03024611,KG,7.488455284552845
03025911,KG,12.594648166501486
03027111,KG,5.4890094227889366
03027211,KG,1.9274157405720533
03028411,KG,11.374074074074073
03028511,KG,37.93732345741008
03029020,KG,517.6752688172043
03033300,KG,16.434387563428047
03033400,KG,15.109802214952431
03033901,KG,3.5912252464346057
03035300,KG,2.942085569283977
03038100,KG,17.9988577955454
03049190,KG,8.376027309416711
03049390,KG,1.5928403368136488
03049490,KG,2.625842008573178
03049590,KG,7.144044943820225
03049991,KG,7.707467853610287
03051040,KG,15.982998454404946
03052020,KG,363.52941176470586
03053920,KG,3.0267405614312484
03053940,KG,3.532765333674609
03054100,KG,20.170758928571427
03056120,KG,3.1433403405298237
03056320,KG,10.185709134615385
03056450,KG,2.6658704273111296
03056920,KG,4.389152718705058
03056940,KG,15.501373489161923
03056960,KG,4.925196850393701
03057900,KG,7.507058823529412
03061420,KG,12.185839880920014
03062420,KG,14.850586631413698
03076000,KG,8.158777369953171
04011000,L,1459.63125
04012020,L,1.06
04012040,L,2.5052083333333335
04014005,L,4.021715493808517
04014025,L,3.0411477913533833
04015005,L,2.9014619883040935
04015025,L,3.8093333333333335
04015050,L,7.245144398263072
04015075,L,6.29223667739628
04021005,KG,1.0508969941902717
04021010,KG,0.5430442001065063
04021050,KG,5.34571875
04022105,KG,0.5136674969020347
04022125,KG,7.426953818827709
04022130,KG,7.820792064416857
04022150,KG,20.41578947368421
04022190,KG,14.056547619047619
04022950,KG,6.494021520415348
04029106,KG,3.5837837837837836
04029110,KG,2.4422309839055716
04029130,KG,0.47839780136782684
04029170,KG,4.5711673193416145
04029190,KG,1.9900785448532452
04029906,KG,2.9433222360056597
04029910,KG,2.5822784810126582
04029945,KG,2.204081632653061
04029955,KG,1.4349944134078212
04029990,KG,5.042400773769762
04031005,KG,4.015
04031050,KG,8.75
04031090,KG,2.1221896383186705
04039004,L,2.31232132647227
04039045,KG,4.955258397272896
04039055,KG,7.935
04039078,KG,6.570588235294117
04039085,KG,3.582668462303754
04039095,KG,13.788027777777778
04041005,KG,8.4
04041008,KG,113.40745454545456
04041011,KG,10.625714285714286
04041015,KG,5.69498610559746
04041048,KG,5.614417804367797
04041050,KG,4.469772727272727
04041090,KG,4.88673139158576
04049010,KG,10.8
04049050,KG,4.873448757888722
04049070,KG,39.93288590604027
04051010,KG,6
04051020,KG,7.2168815943728015
04052030,KG,2.6442812172088144
04052040,KG,6.525067918004446
04052080,KG,5.2894796205015595
04059005,KG,5.976408912188728
04059010,KG,6.245761494252873
04059020,KG,8.960342496620099
04061004,KG,3.1233504033843067
04061008,KG,4.499742002063983
04061012,KG,12.692410210341546
04061018,KG,13.261864406779662
04061028,KG,2.847890671420083
04061038,KG,3.0441025641025643
04061044,KG,4.994733083377969
04061048,KG,10.526617616879612
04061058,KG,7.432326611073613
04061068,KG,2.32109375
04061078,KG,7.296275675568193
04061084,KG,5.904978290038882
04061088,KG,6.325610499192559
04061095,KG,6.993445878848063
04062048,KG,4.942420814479638
04062051,KG,12.062479758477625
04062053,KG,20.503333333333334
04062054,KG,9.052630103649133
04062055,KG,17.638297872340427
04062063,KG,3.583428209993675
04062067,KG,7.422839506172839
04062079,KG,3.5835610496638473
04062081,KG,3.583275422747278
04062089,KG,3.5693473684210524
04062095,KG,16.21062831006259
04063018,KG,11.302469135802468
04063022,KG,5.999385712573416
04063024,KG,6.2745098039215685
04063028,KG,10.047161522205254
04063038,KG,4.929341786162616
04063044,KG,2.96074985354423
04063048,KG,4.382940108892922
04063051,KG,5.419835358682869
04063053,KG,6.704896907216495
04063055,KG,3.7973214285714287
04063063,KG,7.707158351409978
04063067,KG,9.702728449943201
04063069,KG,8.275434243176178
04063073,KG,5.127295918367347
04063075,KG,5.002481389578164
04063077,KG,8.600000000000001
04063079,KG,14.392789373814042
04063081,KG,6.989902537562287
04063083,KG,3.583617332585688
04063085,KG,1.245654541494228
04063089,KG,6.416666666666667
04063091,KG,7.387044534412955
04063095,KG,5.9975128906331925
04064020,KG,14.638960253891492
04064040,KG,15.414603616133519
04064044,KG,10.626294151259527
04064048,KG,10.688569108828393
04064051,KG,17.551181102362204
04064054,KG,9.123176908394754
04064058,KG,12.22604861885765
04064070,KG,11.55700364062515
04069008,KG,6.062185853700665
04069012,KG,7.118705295860126
04069016,KG,6.334577148304508
04069018,KG,7.174773485932284
04069020,KG,2.3367511227862043
04069025,KG,7.3526217158820995
04069028,KG,7.77991452991453
04069032,KG,6.080978260869565
04069033,KG,4.428602041671972
04069041,KG,9.2
04069042,KG,13.005032161324955
04069043,KG,8.245644599303136
04069044,KG,6.0633829705994655
04069046,KG,6.0191302039552275
04069048,KG,8.874798322039368
04069057,KG,30.025
04069059,KG,10.231103523203476
04069061,KG,9.036067931333978
04069063,KG,7.663958956819154
04069068,KG,5.361744419124804
04069072,KG,10.522493459803874
04069074,KG,9.424851530379168
04069078,KG,13.059870550161813
04069084,KG,8.8983853606027985
04069088,KG,5.925512934879571
04069090,KG,7.185037927956443
04069092,KG,8.050618041996664
04069094,KG,5.762731481481482
04069095,KG,7.5888345516987155
04069097,KG,9.724823986524648
04069099,KG,10.087310768706661
04071100,DOZ,49.154666666666664
04071900,DOZ,19.15451994217195
04072100,DOZ,3.787018082565677
04072900,DOZ,2.895751633986928
04079000,DOZ,2.654579833797621
04081100,KG,20.39213200576002
04081900,KG,6.940132623165952
04089900,KG,2.7665912518853695
04090000,KG,3.5947771625945357
04100000,KG,67.1625
05010000,KG,331.07246376811594
05021000,KG,20.7591887538439
05059020,KG,692.3076923076923
05100020,KG,1113.625
05119936,KG,75.72571428571429
06011015,NO,0.13128766791722135
06011030,NO,0.19951128824679848
06011045,NO,0.2193286986548817
06011060,NO,0.13388540734109222
06011075,NO,0.058047349025812295
06011085,NO,0.16165595843098016
06011090,NO,0.251679224704046
06012090,NO,1.5668313886254852
06021000,NO,0.24552572707183382
06023000,NO,35.148648648648646
06029030,NO,3.834129416005768
06029040,KG,75.2354527938343
06029050,KG,0.9989942840062417
06029060,NO,2.6415527821174045
06029090,NO,0.720295919179063
06031100,NO,0.3346989966555184
06031230,NO,0.1547342752969772
06031270,NO,0.18205446383036467
06031300,NO,2.5599779719033786
06031400,NO,0.24866717809032135
07011000,KG,0.7777863005292629
07019010,KG,1.3101851851851851
07019050,KG,0.4336860670194004
07020020,KG,3.3894524247864517
07020040,KG,4.921164021164021
07020060,KG,2.6148381367562767
07031020,KG,0.5830396475770925
07031030,KG,1.6430290629758257
07031040,KG,0.8900011288293896
07032000,KG,2.073825966664785
07039000,KG,2.2681132075471697
07041020,KG,0.8676618343619923
07041040,KG,1.0766245694603902
07041060,KG,2.3117522871217453
07042000,KG,1.4905690615768992
07049020,KG,1.0881143181334658
07049040,KG,1.754906968195282
07051120,KG,0.6137892376681614
07051140,KG,3.0068386522851105
07051920,KG,2.0453961112003856
07051940,KG,6.748517960083321
07052100,KG,2.888888888888889
07052900,KG,3.0311850311850312
07061005,KG,2.311178247734139
07061010,KG,1.5182291666666667
07061020,KG,1.2480575205844833
07069020,KG,0.5551579226387904
07069030,KG,1.0906895374274415
07069040,KG,1.770862093194349
07070020,KG,2.4701733920787636
07070040,KG,2.8212301587301587
07070050,KG,2.080808168937666
07070060,KG,2.0280790777116557
07081020,KG,2.5185185185185186
07081040,KG,2.3143609161952168
07082010,KG,2.219404630650496
07082090,KG,2.3444444444444446
07089005,KG,1.5166666666666666
07089015,KG,2.0015873015873016
07089030,KG,1.3983739837398375
07089040,KG,2.427912438473622
07092010,KG,2.0833922261484097
07092090,KG,7.203809523809523
07093020,KG,3.4537588480718635
07093040,KG,3.8
07094020,KG,1.6207374012374323
07094040,KG,1.3962632743362833
07094060,KG,1.0175373278514026
07095101,KG,5.221240599107712
07095990,KG,7.800347222222222
07096020,KG,3.956824512534819
07096040,KG,3.1929442643671866
07099100,KG,11.766666666666667
07099200,KG,3.4679528013611822
07099320,KG,1.0939068100358422
07099945,KG,4.234428851054767
07099990,KG,2.544184839044652
07101000,KG,1.2497055359246172
07102120,KG,1.2126879376403752
07102140,KG,1.1852070004955702
07102210,KG,0.86171875
07102215,KG,0.8372954545454545
07102225,KG,1.3832011353477833
07102237,KG,1.9787928221859707
07102240,KG,1.1268921949419612
07102905,KG,0.816874930885768
07102915,KG,1.393181818181818
07102930,KG,1.985160891002442
07102940,KG,1.7779230064675988
07103000,KG,0.8139068295115097
07104000,KG,1.4302885006095083
07108020,KG,2.0945801500441537
07108040,KG,1.695935537606268
07108045,KG,0.4453671759487432
07108050,KG,2.174514125163011
07108060,KG,0.9394166666666666
07108065,KG,0.9021013477349893
07108070,KG,1.7039750993492937
07108085,KG,1.3784928027095682
07108093,KG,0.8888888888888888
07108097,KG,1.101776830135039
07109011,KG,0.9775384615384616
07109091,KG,1.0071525885558583
07112018,KG,3.0977422480620156
07112028,KG,1.5841332580463015
07112038,KG,1.6719784826514759
07112040,KG,2.32049512987013
07114000,KG,0.969921357615894
07115100,KG,2.72878061077898
07115910,KG,2.4684873949579833
07115990,KG,12.235
07119030,KG,7.830285947712419
07119050,KG,1.3396463978849966
07119065,KG,1.6194921875000001
07122020,KG,1.47
07122040,KG,3.0324107837915353
07123110,KG,16
07123120,KG,28.297159525515692
07123200,KG,7.168823117174329
07123300,KG,6.933333333333334
07123910,KG,22.360146630249506
07123920,KG,18.8093137254902
07129010,KG,2.2345633521082275
07129015,KG,3.1762837480148227
07129020,KG,3.022670025188917
07129030,KG,1.8277777377379762
07129040,KG,1.5160786899418843
07129065,KG,5.736183544993639
07129070,KG,4.95
07129074,KG,3.922764453961456
07129078,KG,3.914481763283495
07129085,KG,5.9944827447646984
07131010,KG,2.9056478405315613
07131040,KG,1.5390665967488202
07132010,KG,1.7500551267916207
07132020,KG,1.225
07133110,KG,1.65
07133140,KG,1.4971283783783784
07133210,KG,1.7401835798062213
07133220,KG,1.816
07133310,KG,12.12565427266797
07133320,KG,1.3554490086821303
07133340,KG,1.580064951286535
07133420,KG,1.2982780082987553
07133440,KG,2.1192384769539077
07133911,KG,9.039823008849558
07133921,KG,1.7171626984126984
07133941,KG,1.7741966950855492
07134010,KG,1.4297142857142857
07134020,KG,1.4072847682119205
07135010,KG,3.496337355841171
07135020,KG,2.124189645563295
07136060,KG,1.325
07136080,KG,1.433246921581335
07139011,KG,27.31421052631579
07139061,KG,1.667034178610805
07139081,KG,1.9045265266905624
07141010,KG,1.3569340016708438
07141020,KG,0.6596893704747583
07142010,KG,3.9398998330550916
07142020,KG,1.6861009310618067
07143010,KG,1.619
07143020,KG,1.0518731988472623
07143060,KG,5.465051020408163
07144010,KG,0.8614680356058166
07144020,KG,2.4230565755588587
07144060,KG,3.703653109062688
07145010,KG,0.71875
07145060,KG,2.696572580645161
07149005,KG,0.3151958220466663
07149010,KG,1.0213929035502163
07149039,KG,0.6800492610837439
07149046,KG,1.9614197530864197
07149048,KG,3.4173691582177863
07149061,KG,3.326721120186698
08021100,KG,1.0028631067263747
08021200,KG,9.57640627507623
08022100,KG,6.211933441407444
08022200,KG,7.868814358413064
08023100,KG,4.527702089009991
08023200,KG,1.4981165491326032
08025100,KG,7.926991831596625
08025200,KG,31.62070320855615
08026100,KG,2.0828506064670727
08026200,KG,13.227855299418223
08027010,KG,3.48180924287119
08027020,KG,8.823298623753004
08028010,KG,0.9336363636363636
08028020,KG,7.894780135372873
08029010,KG,1.8699510568493518
08029015,KG,10.802605042016808
08029020,KG,1.7494857624310969
08029025,KG,24.811512679885624
08029082,KG,3.3142200193250546
08029098,KG,16.32500152040382
08031020,KG,3.222248243559719
08041020,KG,2.903317708247064
08041040,KG,2.2666666666666666
08041060,KG,1.8081403044341495
08041080,KG,1.76
08042040,KG,4.61213768115942
08042060,KG,4.450248015873016
08042080,KG,2.5729276597426187
08043020,KG,3.742494060572377
08043040,KG,0.5878042328042328
08043060,KG,3.7366859375595016
08044000,KG,1.852548826925439
08045040,KG,1.8006419829376727
08045060,KG,4.475416636750193
08045080,KG,9.976785714285715
08051000,KG,1.2696784454299364
08052000,KG,1.4127463605950379
08054080,KG,7.666679670229643
08055020,KG,1.7336458769359564
08055030,KG,0.2777777777777778
08055040,KG,17.094488188976378
08059001,KG,6.839285714285714
08061020,M3,972.3333333333334
08061060,M3,806.4
08062010,KG,3.157606589811973
08062020,KG,2.978028933092224
08062090,KG,1.9777304278180678
08071130,KG,0.3693980376557942
08071140,KG,0.3599801390268123
08071920,KG,0.2773737016694763
08071950,KG,1.256
08071960,KG,0.7835824381130313
08071970,KG,2.5709993962317284
08071980,KG,0.9506882002044642
08072000,KG,1.3671118971946203
08083040,KG,1.745142641699133
08084040,KG,2.9800190608492887
08091000,KG,4.460804063360881
