hs6_from,hs6_to,relationship
30486,30486,1:01
30487,30487,1:01
30488,30489,n:1
30489,30489,n:1
30491,30491,1:01
30492,30492,1:01
30493,30493,1:n
30493,30499,n:n
30494,30494,1:01
30495,30495,1:01
30496,30499,n:1
30497,30499,n:1
30499,30499,n:1
30520,30520,1:01
30531,30531,1:n
30531,30539,n:n
30532,30532,1:01
30539,30539,n:1
30541,30541,1:01
30542,30542,1:01
30543,30543,1:01
30544,30544,1:n
30544,30549,n:n
30549,30549,n:1
30551,30551,1:01
30552,30559,n:1
30553,30559,n:1
30554,30559,n:1
30559,30559,n:1
30561,30561,1:01
30562,30562,1:01
30563,30563,1:01
30564,30564,1:n
30564,30569,n:n
30569,30569,n:1
30571,30571,1:01
30572,30572,1:01
30579,30579,1:01
30611,30611,1:01
30612,30612,1:01
30614,30614,1:01
30615,30615,1:01
30616,30616,1:01
30617,30617,1:01
30619,30619,n:1
30631,30621,n:1
30632,30622,n:1
30633,30624,n:1
30634,30625,n:1
30635,30626,n:1
30636,30627,n:1
30639,30629,n:1
30691,30621,n:1
30692,30622,n:1
30693,30624,n:1
30694,30625,n:1
30695,30626,n:n
30695,30627,n:n
30699,30629,n:1
30711,30711,1:01
30712,30719,n:1
30719,30719,n:1
30721,30721,1:n
30721,30791,n:n
30722,30729,n:n
30722,30799,n:n
30729,30729,n:n
30729,30799,n:n
30731,30731,1:01
30732,30739,n:1
30739,30739,n:1
30742,30741,1:n
30742,30791,n:n
30743,30749,n:n
30743,30799,n:n
30749,30749,n:n
30749,30799,n:n
30751,30751,1:01
30752,30759,n:1
30759,30759,n:1
30760,30760,1:01
30771,30771,1:01
30772,30779,n:1
30779,30779,n:1
30781,30781,1:01
30782,30791,n:1
30783,30789,n:1
30784,30799,n:1
30787,30789,n:1
30788,30799,n:1
30791,30791,n:1
30792,30799,n:1
30799,30799,n:1
30811,30811,1:01
30812,30819,n:1
30819,30819,n:1
30821,30821,1:01
30822,30829,n:1
30829,30829,n:1
30830,30830,1:01
30890,30890,n:1
30910,30510,1:01
30990,30619,n:n
30990,30629,n:n
30990,30791,n:n
30990,30799,n:n
30990,30890,n:n
40110,40110,1:01
40120,40120,1:01
40140,40140,1:01
40150,40150,1:01
40210,40210,1:01
40221,40221,1:01
40229,40229,1:01
40291,40291,1:01
40299,40299,1:01
40320,40310,1:n
40320,190190,n:n
40390,40390,1:01
40410,40410,1:01
40490,40490,1:01
40510,40510,1:01
40520,40520,1:01
40590,40590,1:01
40610,40610,1:01
40620,40620,1:01
40630,40630,1:01
40640,40640,1:01
40690,40690,1:01
40711,40711,1:01
40719,40719,1:01
40721,40721,1:01
40729,40729,1:01
40790,40790,1:01
40811,40811,1:01
40819,40819,1:01
40891,40891,1:01
40899,40899,1:01
40900,40900,1:01
41010,20890,n:n
41010,21099,n:n
41010,41000,n:n
41090,41000,n:1
50100,50100,1:01
50210,50210,1:01
50290,50290,1:01
50400,50400,1:01
50510,50510,1:01
50590,50590,1:01
50610,50610,1:01
50690,50690,1:01
50710,50710,1:01
50790,50790,1:01
50800,50800,1:01
51000,51000,1:01
51110,51110,1:01
51191,51191,1:01
51199,51199,1:01
60110,60110,1:01
60120,60120,1:01
60210,60210,1:01
60220,60220,1:01
60230,60230,1:01
60240,60240,1:01
60290,60290,1:01
60311,60311,1:01
60312,60312,1:01
60313,60313,1:01
60314,60314,1:01
60315,60315,1:01
60319,60319,1:01
60390,60390,1:01
60420,60420,1:01
60490,60490,1:01
70110,70110,1:01
70190,70190,1:01
70200,70200,1:01
70310,70310,1:01
70320,70320,1:01
70390,70390,1:01
70410,70410,1:n
70410,70490,n:n
70420,70420,1:01
70490,70490,n:1
70511,70511,1:01
70519,70519,1:01
70521,70521,1:01
70529,70529,1:01
70610,70610,1:01
70690,70690,1:01
70700,70700,1:01
70810,70810,1:01
70820,70820,1:01
70890,70890,1:01
70920,70920,1:01
70930,70930,1:01
70940,70940,1:01
70951,70951,1:01
70952,70959,n:1
70953,70959,n:1
70954,70959,n:1
70955,70959,n:1
70956,70959,n:1
70959,70959,n:1
70960,70960,1:01
70970,70970,1:01
70991,70991,1:01
70992,70992,1:01
70993,70993,1:01
70999,70999,1:01
71010,71010,1:01
71021,71021,1:01
71022,71022,1:01
71029,71029,1:01
71030,71030,1:01
71040,71040,1:01
71080,71080,1:01
71090,71090,1:01
71120,71120,1:01
71140,71140,1:01
71151,71151,1:01
71159,71159,1:01
71190,71190,1:01
71220,71220,1:01
71231,71231,1:01
71232,71232,1:01
71233,71233,1:01
71234,71239,n:1
71239,71239,n:1
71290,71290,1:01
71310,71310,1:01
71320,71320,1:01
71331,71331,1:01
71332,71332,1:01
71333,71333,1:01
71334,71334,1:01
71335,71335,1:01
71339,71339,1:01
71340,71340,1:01
71350,71350,1:01
71360,71360,1:01
71390,71390,1:01
71410,71410,1:01
71420,71420,1:01
71430,71430,1:01
71440,71440,1:01
71450,71450,1:01
71490,71490,1:01
80111,80111,1:01
80112,80112,1:01
80119,80119,1:01
