hts8,quantity_code,unit_value
01019020,NO,1167.2
01029040,NO,1298.6917808219177
01042000,NO,95
01051100,NO,3.9763845020676927
01051200,NO,5.140006654052996
01051900,NO,3.219
01059400,NO,4.249019607843137
01059900,NO,17.000759301442674
01063100,NO,3551
01063200,NO,142.72215432960894
01063900,NO,72.87294506861372
02012050,KG,8.984097756946769
02012080,KG,69.10452853598014
02013002,KG,30.025974025974026
02013010,KG,5.791221628838452
02013030,KG,6.282000690573669
02013050,KG,8.549903605513046
02013080,KG,10.25708156777505
02022006,KG,0.7518023430459597
02022010,KG,15.352517985611511
02022030,KG,0.6378471005179733
02022050,KG,3.71641412367263
02022080,KG,4.903540903540904
02023006,KG,20.873563218390803
02023010,KG,5.022058823529412
02023030,KG,5.482233502538071
02023050,KG,4.308311975049407
02023080,KG,3.6392840528225427
02031210,KG,6.752083333333333
02031920,KG,3.3627374109770267
02032210,KG,14.939024390243903
02032920,KG,2.402265995197687
02042100,KG,4.250111160515785
02042220,KG,9.796334143657477
02042320,KG,9.705614412923229
02043000,KG,5.822083673198667
02044100,KG,4.141817920477286
02044220,KG,5.76801528043063
02044240,KG,3.9100053421320875
02044320,KG,7.856557606482422
02044340,KG,5.418774387334026
02071200,KG,4.06447694318868
02071300,KG,2.850264637690282
02071400,KG,3.0533496895653918
02072700,KG,3.5566897662248036
02081000,KG,3.1258333333333335
02085000,KG,28.665
02089090,KG,6.898765737728109
02101100,KG,12.537962812166816
02101200,KG,4.790039517713212
02101900,KG,12.706214689265536
02109920,KG,8.936960686585447
02109990,KG,13.725124378109452
03022300,KG,26.927940364439536
03026911,KG,15.242337750594633
03033300,KG,15.44493762102229
03033900,KG,4.21099503339613
03037100,KG,3.43
03037500,KG,31.549785283361963
03049190,KG,4.627387191999518
03049990,KG,5.867763904653803
03051040,KG,14.95027027027027
03052020,KG,563.5294117647059
03053020,KG,2.4468610973801286
03053040,KG,5.526741871536139
03054100,KG,19.280780137166975
03056120,KG,3.0921474358974357
03056320,KG,13.235820574910171
03056920,KG,5.690296573567521
03056940,KG,6.368654173764907
03056960,KG,7.275167785234899
03061420,KG,11.178096212896623
03062420,KG,21.291071428571428
03076000,KG,8.158777369953171
04012020,L,0.8227603276353277
04012040,L,3.040320339100827
04013005,L,2.9641801518276734
04013025,L,2.72034446712131
04013042,L,3.200984918436442
04013050,L,7.258365224359903
04021005,KG,4.494513546018483
04021010,KG,4.644222516248839
04021050,KG,5.1391
04022105,KG,0.5136673301746615
04022125,KG,7.297818078775857
04022127,KG,14.769911504424778
04022130,KG,6.898092298531163
04022150,KG,19.123809523809523
04022175,KG,7.7023752590467085
04022190,KG,10.360677083333332
04022910,KG,4
04022950,KG,11.390350877192983
04029110,KG,2.4422309839055716
04029130,KG,0.626107848958677
04029170,KG,3.239941836704907
04029190,KG,1.6269456024668714
04029906,KG,0.6539201463218669
04029910,KG,2.5188367098159867
04029945,KG,2.5358180058083253
04029955,KG,1.8060804899387577
04029970,KG,3.7576832399626516
04029990,KG,6.180311753918645
04031005,KG,6.378895184135978
04031010,KG,5.8061
04031050,KG,5.05
04031090,KG,2.8609392064069894
04039004,L,1.2079759862778732
04039016,L,7.389458272327965
04039041,KG,0.24691415975395892
04039055,KG,7.656715686274509
04039078,KG,6.570588235294117
04039085,KG,3.5822959889349932
04039095,KG,13.668
04041005,KG,7.26019279753111
04041008,KG,106.60745454545454
04041011,KG,9.755833333333333
04041015,KG,6.326480411092915
04041048,KG,0.27557930621458515
04041050,KG,2.6950000000000003
04041090,KG,6.387341772151899
04049010,KG,8.24593775697315
04049050,KG,4.855961138529348
04049070,KG,41.78394648829432
04051005,KG,11.80605394943009
04051010,KG,6.253681392235609
04051020,KG,7.8290350593982625
04052030,KG,2.6464864864864865
04052040,KG,5.709432403532043
04052070,KG,24.980707395498392
04052080,KG,3.6154949784791968
04059005,KG,1.9693875590732701
04059010,KG,6.2784689346234686
04059020,KG,6.505485893416928
04061004,KG,2.9537796538097023
04061008,KG,6.115044247787611
04061012,KG,8.943669159360496
04061018,KG,11.23125
04061028,KG,5.201429903636929
04061034,KG,2.538638464273018
04061038,KG,3.0441025641025643
04061044,KG,4.8707183793149404
04061048,KG,9.948472139005393
04061054,KG,3.825925925925926
04061058,KG,16.214807118499575
04061068,KG,2.649971542401821
04061078,KG,7.296275675568193
04061084,KG,6.609871391992551
04061088,KG,6.25
04061095,KG,7.850322033449071
04062048,KG,4.830958549222798
04062053,KG,18.33570499812066
04062054,KG,18.033333333333335
04062055,KG,16.433755760368662
04062067,KG,7.422839506172839
04062079,KG,7.42024013722127
04062083,KG,19.824175824175825
04062089,KG,6.203947368421052
04062091,KG,3.529513888888889
04062095,KG,12.418609344624205
04063024,KG,6.220238095238095
04063028,KG,6.355279256481281
04063044,KG,5.785942492012779
04063048,KG,11.965555395198923
04063051,KG,5.06036862256255
04063053,KG,6.080957409362901
04063055,KG,3.7973214285714287
04063063,KG,7.706696117182051
04063067,KG,6.924812030075188
04063069,KG,12.608333333333333
04063071,KG,8.970364980416608
04063073,KG,4.992377308066084
04063075,KG,5.238604107530472
04063077,KG,7.2119496855345915
04063079,KG,8
04063081,KG,6.272032034373792
04063083,KG,4.128109028960818
04063089,KG,5.420361301157534
04063091,KG,6.352382454865723
04063095,KG,5.260869565217392
04064020,KG,11.164423640033927
04064040,KG,13.937092448464451
04064044,KG,9.32876712328767
04064048,KG,10.910007124353807
04064051,KG,6.374365482233503
04064054,KG,8.877518635558701
04064058,KG,10.252896985171365
04064070,KG,10.355976515399519
