id,gta_intervention_url,gta_act_title,gta_evaluation,hs_scope_1,hs_scope_2,hs_revision,partners,start_date,end_date,effect,rate_type,rate_value,unit,program,notes
68,https://globaltradealert.org/intervention/143230,United States of America: U.S. Administration increases Section 232 aluminium tariffs,Red,"hs6: 660390, 761010, 761090, 761510, 761520, 761610, 761699, 830210, 830220, 830230, 830241, 830242, 830249, 830250, 830260, 830510, 830630, 841459, 841590, 841899, 841950, 841990, 842290, 842490, 847330, 847989, 847990, 848190, 848690, 848790, 850300, 850870, 851390, 851590, 851690, 851771, 851779, 852990, 853690, 853810, 854190, 854390, 854790, 870810, 870822, 870880, 870899, 871680, 880730, 901390, 903190, 940199, 940310, 940320, 940399, 940599, 950611, 950651, 950659, 950670, 950691, 950699, 950730, 950790, 960390",NA,HS2022,"Albania, Argentina, Australia, Austria, Bahamas, Bahrain, Bangladesh, Belgium, Bosnia & Herzegovina, Brazil, Brunei Darussalam, Bulgaria, Cambodia, Canada, Chile, China, Colombia, Costa Rica, Croatia, Czechia, Republic of Korea, Denmark, Dominican Republic, Ecuador, Egypt, El Salvador, Estonia, Ethiopia, Fiji, Finland, France, Germany, Greece, Guatemala, Haiti, Honduras, Hong Kong, Hungary, India, Indonesia, Ireland, Israel, Italy, Japan, Jordan, Kuwait, Latvia, Lithuania, Luxembourg, Macao, Macedonia, Malaysia, Malta, Mauritius, Mexico, Morocco, Myanmar, Netherlands, New Zealand, Nicaragua, Norway, Oman, Pakistan, Peru, Philippines, Poland, Portugal, Qatar, Romania, Russia, Saudi Arabia, Serbia, Singapore, Slovakia, Slovenia, South Africa, Spain, Sri Lanka, Sweden, Switzerland, Thailand, Tunisia, Turkiye, Uganda, Ukraine, United Arab Emirates, United Kingdom, Vietnam",2025-03-12,NA,adjust,adval,0.25,NA,section_232_steel_al_2,Section 232 Steel and Aluminium
69,https://globaltradealert.org/intervention/143231,United States of America: U.S. Administration expands Section 232 tariffs to include additional derivative steel articles,Red,"hs6: 730120, 730230, 730721, 730722, 730723, 730729, 730791, 730792, 730793, 730799, 730810, 730820, 730830, 730840, 730890, 730900, 731010, 731021, 731029, 731100, 731210, 731290, 731300, 731412, 731414, 731419, 731420, 731431, 731439, 731441, 731442, 731449, 731450, 731511, 731512, 731519, 731520, 731581, 731582, 731589, 731590, 731600, 731700, 731811, 731812, 731813, 731814, 731815, 731816, 731819, 731821, 731822, 731823, 731824, 731829, 731940, 731990, 732010, 732020, 732090, 732111, 732112, 732119, 732181, 732182, 732189, 732190, 732219, 732290, 732310, 732393, 732394, 732399, 732410, 732429, 732490, 732591, 732599, 732611, 732619, 732620, 732690, 843131, 843142, 843149, 843210, 843290, 854790, 940320, 940599, 940620, 940690",NA,HS2022,"Angola, Argentina, Australia, Austria, Bahamas, Bangladesh, Belgium, Bosnia & Herzegovina, Brazil, Brunei Darussalam, Bulgaria, Cambodia, Canada, Chile, China, Chinese Taipei, Colombia, Costa Rica, Croatia, Czechia, Republic of Korea, Denmark, Dominican Republic, Ecuador, Egypt, Estonia, Finland, France, Germany, Greece, Honduras, Hong Kong, Hungary, India, Indonesia, Ireland, Israel, Italy, Japan, Kenya, Latvia, Lithuania, Luxembourg, Macao, Malaysia, Mexico, Morocco, Myanmar, Netherlands, New Zealand, Nicaragua, Norway, Oman, Pakistan, Panama, Peru, Philippines, Poland, Portugal, Romania, Russia, Saudi Arabia, Serbia, Singapore, Slovakia, Slovenia, South Africa, Spain, Sri Lanka, Sweden, Switzerland, Thailand, Tunisia, Turkiye, Ukraine, United Arab Emirates, Venezuela, Vietnam",2025-03-12,2025-06-03,adjust,adval,0.25,NA,section_232_steel_al_2,Section 232 Steel and Aluminium - expansion
70,https://globaltradealert.org/intervention/144099,United States of America: U.S. Administration announces 25 percent tariffs on automobile imports to address national security risks,Red,"hs6: 870322, 870323, 870324, 870331, 870332, 870333, 870340, 870350, 870360, 870370, 870380, 870390, 870421, 870431, 870441, 870451, 870460",NA,HS2022,"Australia, Austria, Bahrain, Belgium, Brazil, China, Colombia, Croatia, Czechia, Republic of Korea, Denmark, Finland, France, Germany, Hong Kong, Hungary, India, Indonesia, Italy, Japan, Kuwait, Netherlands, New Zealand, Norway, Oman, Singapore, Slovakia, South Africa, Spain, Sweden, Switzerland, Thailand, Turkiye, Ukraine, United Arab Emirates, United Kingdom, Vietnam",2025-04-03,NA,adjust,adval,0.25,NA,NA,Autos
71,https://globaltradealert.org/intervention/144413,United States of America: Commerce Department imposes duties on aluminium derivative imports including beer and empty cans,Red,"hs8: 22030000, 76129010",NA,HS2022,"Austria, Belgium, Canada, Chile, China, Colombia, Czechia, Republic of Korea, Denmark, Dominican Republic, France, Germany, Greece, Guatemala, India, Ireland, Italy, Jamaica, Japan, Malaysia, Mexico, Netherlands, Nicaragua, Peru, Poland, Portugal, Saudi Arabia, Spain, Switzerland, Thailand, United Kingdom, Vietnam",2025-04-04,2025-06-03,adjust,adval,0.25,NA,NA,NA
72,https://globaltradealert.org/intervention/144414,United States of America: Commerce Department imposes duties on aluminium derivative imports including beer and empty cans,Red,"hs8: 22030000, 76129010",NA,HS2022,Russia,2025-04-04,NA,override,adval,2,NA,NA,NA
73,https://globaltradealert.org/intervention/144227,"United States of America: Administration announces 10 percent additional ""reciprocal tariff"" on all imports (2 April 2025)",Red,all,NA,NA,"Albania, Andorra, Antigua & Barbuda, Argentina, Armenia, Australia, Azerbaijan, Bahamas, Bahrain, Barbados, Belize, Benin, Bermuda, Botswana, Brazil, British Virgin Islands, Burkina Faso, Burundi, Cape Verde, Cayman Islands, Chile, Colombia, Comoros, Congo, Djibouti, Dominican Republic, Egypt, El Salvador, Estonia, Ethiopia, French Polynesia, Gabon, Georgia, Greenland, Grenada, Guatemala, Guinea, Haiti, Honduras, Hong Kong, Jamaica, Kenya, Kuwait, Kyrgyzstan, Lebanon, Macao, Macedonia, Maldives, Mali, Marshall Islands, Mongolia, Montenegro, Morocco, Nepal, New Caledonia, Niue, Oman, State of Palestine, Panama, Paraguay, Peru, Qatar, Rwanda, Saint Helena, Saint Kitts & Nevis, Saint Lucia, Samoa, San Marino, Saudi Arabia, Senegal, Seychelles, Sierra Leone, Singapore, Republic of the Sudan, Suriname, Eswatini, Timor-Leste, Togo, Turks & Caicos Islands, Ukraine, United Arab Emirates, Tanzania, Uruguay, Uzbekistan, Yemen",2025-04-05,NA,adjust,adval,0.1,NA,liberation_day,Liberation Day
74,https://globaltradealert.org/intervention/144234,"United States of America: Administration announces 10 percent additional ""reciprocal tariff"" on all imports (2 April 2025)",Red,all,NA,NA,"Algeria, Austria, Bangladesh, Belgium, Bosnia & Herzegovina, Bulgaria, Cambodia, Cameroon, Chad, Chinese Taipei, Ivory Coast, Croatia, Cyprus, Czechia, Republic of Korea, Denmark, Equatorial Guinea, Estonia, Finland, France, Germany, Greece, Guyana, Hungary, India, Iraq, Ireland, Israel, Italy, Jordan, Kazakhstan, Latvia, Libya, Lithuania, Luxembourg, Malaysia, Malta, Mauritius, Myanmar, Namibia, Nauru, Netherlands, Nicaragua, Philippines, Poland, Portugal, Romania, Serbia, Slovakia, Slovenia, South Africa, Spain, Sri Lanka, Sweden, Tunisia, Zambia, Zimbabwe",2025-04-05,2025-07-31,adjust,adval,0.1,NA,liberation_day,Liberation Day
75,https://globaltradealert.org/intervention/144509,"United States of America: U.S. Administration exempts certain electronic items from additional duties, effective retroactively from 5 April 2025",Green,"hs6: 847130, 847141, 847149, 847150, 847160, 847170, 847180, 847190, 847330, 848610, 848620, 848630, 848640, 848690, 851713, 851762, 852351, 852411, 852412, 852419, 852491, 852492, 852499, 852852",NA,HS2022,"Armenia, Australia, Austria, Belarus, Belgium, Brazil, Bulgaria, Cambodia, Cayman Islands, Chile, Colombia, Costa Rica, Croatia, Czechia, Republic of Korea, Denmark, Dominican Republic, Estonia, Finland, France, Germany, Greece, Guatemala, Hong Kong, Hungary, India, Indonesia, Ireland, Israel, Italy, Japan, Kazakhstan, Kyrgyzstan, Lao, Latvia, Lithuania, Malaysia, Malta, Montenegro, Morocco, Netherlands, New Zealand, Norway, Panama, Paraguay, Peru, Philippines, Poland, Portugal, Romania, Serbia, Singapore, Slovakia, Slovenia, South Africa, Spain, Sri Lanka, Sweden, Switzerland, Thailand, Trinidad & Tobago, Tunisia, Turkiye, Ukraine, United Arab Emirates, United Kingdom, Uruguay, Vietnam",2025-04-05,NA,adjust,exemption,0,NA,liberation_day,Liberation Day - exemptions
76,https://globaltradealert.org/intervention/146407,"United States of America: Administration announces 10 percent additional ""reciprocal tariff"" on all imports (2 April 2025)",Red,all,NA,NA,United Kingdom,2025-04-05,NA,adjust,adval,0.1,NA,liberation_day,Liberation Day
77,https://globaltradealert.org/intervention/148070,"United States of America: Administration announces 10 percent additional ""reciprocal tariff"" on all imports (2 April 2025)",Red,all,NA,NA,"Afghanistan, Bolivia, Costa Rica, Ecuador, Ghana, Iceland, New Zealand, Papua New Guinea, Trinidad & Tobago, Turkiye, Uganda",2025-04-05,2025-08-06,adjust,adval,0.1,NA,liberation_day,Liberation Day
