hs6_2012,hts8_2012
040410,04041048
040410,04041050
040410,04041090
040490,04049010
040490,04049028
040490,04049030
040490,04049050
040490,04049070
040510,04051005
040510,04051010
040510,04051020
040520,04052010
040520,04052020
040520,04052030
040520,04052040
040520,04052050
040520,04052060
040520,04052070
040520,04052080
040590,04059005
040590,04059010
040590,04059020
040610,04061002
040610,04061004
040610,04061008
040610,04061012
040610,04061014
040610,04061018
040610,04061024
040610,04061028
040610,04061034
040610,04061038
040610,04061044
040610,04061048
040610,04061054
040610,04061058
040610,04061064
040610,04061068
040610,04061074
040610,04061078
040610,04061084
040610,04061088
040610,04061095
040620,04062010
040620,04062015
040620,04062022
040620,04062024
040620,04062028
040620,04062029
040620,04062031
040620,04062033
040620,04062034
040620,04062036
040620,04062039
040620,04062043
040620,04062044
040620,04062048
040620,04062049
040620,04062051
040620,04062053
040620,04062054
040620,04062055
040620,04062056
040620,04062057
040620,04062061
040620,04062063
040620,04062065
040620,04062067
040620,04062069
040620,04062071
040620,04062073
040620,04062075
040620,04062077
040620,04062079
040620,04062081
040620,04062083
040620,04062085
040620,04062087
040620,04062089
040620,04062091
040620,04062095
040630,04063005
040630,04063012
040630,04063014
040630,04063018
040630,04063022
040630,04063024
040630,04063028
040630,04063032
040630,04063034
040630,04063038
040630,04063042
040630,04063044
040630,04063048
040630,04063049
040630,04063051
040630,04063053
040630,04063055
040630,04063056
040630,04063057
040630,04063061
040630,04063063
040630,04063065
040630,04063067
040630,04063069
040630,04063071
040630,04063073
040630,04063075
040630,04063077
040630,04063079
040630,04063081
040630,04063083
040630,04063085
040630,04063087
040630,04063089
040630,04063091
040630,04063095
040640,04064020
040640,04064040
040640,04064044
040640,04064048
040640,04064051
040640,04064052
040640,04064054
040640,04064058
040640,04064070
040690,04069005
040690,04069006
040690,04069008
040690,04069012
040690,04069014
040690,04069016
040690,04069018
040690,04069020
040690,04069025
040690,04069028
040690,04069031
040690,04069032
040690,04069033
040690,04069034
040690,04069036
040690,04069037
040690,04069038
040690,04069039
040690,04069041
040690,04069042
040690,04069043
040690,04069044
040690,04069046
040690,04069048
040690,04069049
040690,04069051
040690,04069052
040690,04069054
040690,04069056
040690,04069057
040690,04069059
040690,04069061
040690,04069063
040690,04069066
040690,04069068
040690,04069072
040690,04069074
040690,04069076
040690,04069078
040690,04069082
040690,04069084
040690,04069086
040690,04069088
040690,04069090
040690,04069092
040690,04069093
040690,04069094
040690,04069095
040690,04069097
040690,04069099
040711,04071100
040719,04071900
040721,04072100
040729,04072900
040790,04079000
040811,04081100
040819,04081900
040891,04089100
040899,04089900
040900,04090000
041000,04100000
050100,05010000
050210,05021000
050290,05029000
050400,05040000
050510,05051000
050590,05059020
050590,05059060
050610,05061000
050690,05069000
050710,05071000
050790,05079000
050800,05080000
051000,05100020
051000,05100040
051110,05111000
051191,05119100
051199,05119920
051199,05119930
051199,05119933
051199,05119936
051199,05119940
060110,06011015
060110,06011030
060110,06011045
060110,06011060
060110,06011075
060110,06011085
060110,06011090
060120,06012010
060120,06012090
060210,06021000
060220,06022000
060230,06023000
060240,06024000
060290,06029020
060290,06029030
060290,06029040
060290,06029050
060290,06029060
060290,06029090
060311,06031100
060312,06031230
060312,06031270
060313,06031300
060314,06031400
060315,06031500
060319,06031901
060390,06039000
060420,06042000
060490,06049010
060490,06049030
060490,06049060
070110,07011000
070190,07019010
070190,07019050
070200,07020020
070200,07020040
070200,07020060
070310,07031020
070310,07031030
070310,07031040
070320,07032000
070390,07039000
070410,07041020
070410,07041040
070410,07041060
070420,07042000
070490,07049020
070490,07049040
070511,07051120
070511,07051140
070519,07051920
070519,07051940
070521,07052100
070529,07052900
070610,07061005
070610,07061010
070610,07061020
070610,07061040
070690,07069020
070690,07069030
070690,07069040
070700,07070020
070700,07070040
070700,07070050
070700,07070060
070810,07081020
070810,07081040
070820,07082010
070820,07082020
070820,07082090
070890,07089005
070890,07089015
070890,07089025
070890,07089030
070890,07089040
070920,07092010
070920,07092090
070930,07093020
070930,07093040
070940,07094020
070940,07094040
070940,07094060
070951,07095101
070959,07095910
070959,07095990
070960,07096020
070960,07096040
070970,07097000
070991,07099100
070992,07099200
070993,07099310
070993,07099320
070993,07099330
070999,07099905
070999,07099910
070999,07099914
070999,07099930
070999,07099945
070999,07099990
071010,07101000
071021,07102120
071021,07102140
071022,07102210
071022,07102215
071022,07102220
071022,07102225
071022,07102237
071022,07102240
071029,07102905
071029,07102915
071029,07102925
